Date,Avg Temperature (C),Avg Humidity (%),Avg Wind Speed (km/h),Total Precipitation (mm)
2019-01,7.483870967741935,73.2258064516129,20.06451612903226,122.7
2019-02,8.071428571428571,72.28571428571429,20.142857142857142,72.8
2019-03,9.870967741935484,65.09677419354838,18.419354838709676,37.5
2019-04,12.1,68.33333333333333,14.166666666666666,41.7
2019-05,18.258064516129032,65.48387096774194,12.35483870967742,31.3
2019-06,24.0,64.2,14.4,11.2
2019-07,24.096774193548388,60.806451612903224,15.774193548387096,46.1
2019-08,24.64516129032258,64.64516129032258,20.451612903225808,27.099999999999998
2019-09,21.833333333333332,63.36666666666667,18.466666666666665,14.9
2019-10,18.612903225806452,72.96774193548387,14.935483870967742,51.0
2019-11,17.033333333333335,64.7,13.6,51.8
2019-12,10.774193548387096,70.06451612903226,17.548387096774192,64.39999999999999
