Entity,Code,Year,"Inflation, consumer prices (annual %)"
Turkey,TUR,2019,15.176822
Turkey,TUR,2020,12.278957
Turkey,TUR,2021,19.596493
Turkey,TUR,2022,72.30884
Turkey,TUR,2023,53.85941
Turkey,TUR,2024,58.5 

