tarih,yolcu_turu,uyruk,cikis_turu,liman_sinir_kapisi,ziyaretci_sayisi
2020-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,22
2020-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,8
2020-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,39
2020-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,45
2020-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,6
2020-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,0
2020-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,0
2020-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,9
2020-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,0
2020-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,3
2019-12-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,10
2019-11-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,29
2019-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,0
2019-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,0
2019-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,3
2019-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,0
2019-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,15
2019-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,0
2019-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,0
2019-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,0
2019-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,0
2019-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Marmara,7
2022-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1803
2022-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1753
2022-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,2167
2022-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1848
2022-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,2216
2022-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,2087
2022-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1755
2022-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1588
2022-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1553
2022-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1332
2021-12-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1377
2021-11-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1499
2021-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1482
2021-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1310
2021-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1436
2021-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1473
2021-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1630
2021-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1029
2021-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1193
2021-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1467
2021-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1051
2021-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1199
2020-12-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1248
2020-11-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1257
2020-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1704
2020-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1176
2020-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1439
2020-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,2169
2020-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1286
2020-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,31
2020-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,14
2020-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,678
2020-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1372
2020-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1480
2019-12-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1243
2019-11-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1759
2019-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1545
2019-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1324
2019-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1409
2019-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1404
2019-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1128
2019-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1267
2019-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1376
2019-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1343
2019-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1106
2019-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Tuzla,1211
2022-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,41
2022-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,71
2022-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,38
2022-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,73
2022-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,52
2022-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,21
2022-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,24
2022-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,50
2022-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,57
2022-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,47
2021-12-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,83
2021-11-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,51
2021-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,20
2021-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,71
2021-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,16
2021-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,62
2021-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,74
2021-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,37
2021-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,43
2021-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,71
2021-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,55
2021-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,41
2020-12-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,81
2020-11-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,77
2020-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,116
2020-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,99
2020-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,63
2020-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,109
2020-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,54
2020-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,0
2020-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,0
2020-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,2
2020-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,51
2020-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,46
2019-12-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,52
2019-11-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,76
2019-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,59
2019-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,106
2019-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,86
2019-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,96
2019-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,146
2019-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,100
2019-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,80
2019-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,166
2019-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,185
2019-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Pendik,128
2022-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,179
2022-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,188
2022-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,210
2022-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,197
2022-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,177
2022-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,216
2022-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,167
2022-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,208
2022-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,151
2022-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,113
2021-12-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,169
2021-11-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,207
2021-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,196
2021-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,188
2021-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,144
2021-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,176
2021-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,162
2021-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,172
2021-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,199
2021-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,114
2021-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,169
2021-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,104
2020-12-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,127
2020-11-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,305
2020-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,146
2020-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,133
2020-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,164
2020-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,183
2020-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,61
2020-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,3
2020-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,3
2020-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,71
2020-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,355
2020-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,519
2019-12-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,443
2019-11-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,490
2019-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,591
2019-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,558
2019-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,506
2019-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,521
2019-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,498
2019-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,655
2019-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,454
2019-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,321
2019-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,291
2019-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Ambarlı,524
2022-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1047
2022-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1162
2022-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,961
2022-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,895
2022-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,955
2022-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,997
2022-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,977
2022-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1188
2022-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1210
2022-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,923
2021-12-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1015
2021-11-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,992
2021-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1223
2021-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1265
2021-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1152
2021-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1005
2021-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1171
2021-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,949
2021-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,891
2021-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,937
2021-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,933
2021-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,824
2020-12-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1008
2020-11-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,995
2020-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1015
2020-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1127
2020-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1154
2020-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1723
2020-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,442
2020-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,6
2020-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,11
2020-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,563
2020-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,798
2020-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,829
2019-12-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1057
2019-11-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1024
2019-10-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,891
2019-09-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,904
2019-08-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,908
2019-07-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1032
2019-06-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,770
2019-05-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,777
2019-04-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,856
2019-03-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,1054
2019-02-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,947
2019-01-01,Gelen Yolcu,Yabancı,Liman/Sınır Kapısı,Zeytinburnu,986
2019-01-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,400578
2019-02-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,389924
2019-03-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,441411
2019-04-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,68917
2019-05-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,3050
2019-06-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,2636
2019-07-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,2898
2019-08-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,2856
2019-09-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,2919
2019-10-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,2885
2019-11-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,3402
2019-12-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,3269
2020-01-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,3053
2020-02-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,2774
2020-03-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,3322
2020-04-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4440
2020-05-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,6259
2020-06-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4173
2020-07-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4246
2020-08-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4141
2020-09-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4316
2020-10-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4729
2020-11-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4719
2020-12-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4545
2021-01-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4089
2021-02-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4210
2021-03-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4697
2021-04-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4477
2021-05-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4466
2021-06-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4760
2021-07-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4400
2021-08-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4044
2021-09-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,3972
2021-10-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4139
2021-11-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,4288
2021-12-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,3655
2022-01-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,3154
2022-02-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,1571
2022-03-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,1617
2022-04-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,1539
2022-05-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,1373
2022-06-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,1812
2022-07-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,1591
2022-08-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,1487
2022-09-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,1743
2022-10-01,Gelen Yolcu,Türkiye,Havalimanı,Atatürk Havalimanı,1912
2019-01-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,6109
2019-02-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,9053
2019-03-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,8248
2019-04-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,342586
2019-05-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,393697
2019-06-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,501422
2019-07-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,517254
2019-08-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,484588
2019-09-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,415235
2019-10-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,411988
2019-11-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,407745
2019-12-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,400756
2020-01-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,397999
2020-02-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,391999
2020-03-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,210785
2020-04-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,6928
2020-05-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,4950
2020-06-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,63172
2020-07-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,154216
2020-08-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,122915
2020-09-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,91811
2020-10-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,96448
2020-11-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,88367
2020-12-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,97929
2021-01-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,84913
2021-02-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,91145
2021-03-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,121072
2021-04-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,112521
2021-05-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,133360
2021-06-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,188949
2021-07-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,312860
2021-08-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,246059
2021-09-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,222089
2021-10-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,245878
2021-11-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,230239
2021-12-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,258781
2022-01-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,198312
2022-02-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,222348
2022-03-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,254728
2022-04-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,269474
2022-05-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,366574
2022-06-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,366544
2022-07-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,433397
2022-08-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,324293
2022-09-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,330737
2022-10-01,Gelen Yolcu,Türkiye,Havalimanı,İstanbul Havalimanı,314190
2019-01-01,Gelen Yolcu,Türkiye,Havalimanı,S. Gökçen,172461
2019-02-01,Gelen Yolcu,Türkiye,Havalimanı,S. Gökçen,165849
2019-03-01,Gelen Yolcu,Türkiye,Havalimanı,S. Gökçen,193768
2019-04-01,Gelen Yolcu,Türkiye,Havalimanı,S. Gökçen,193837
2019-05-01,Gelen Yolcu,Türkiye,Havalimanı,S. Gökçen,182525
2019-06-01,Gelen Yolcu,Türkiye,Havalimanı,S. Gökçen,215450
2019-07-01,Gelen Yolcu,Türkiye,Havalimanı,S. Gökçen,212035
2019-08-01,Gelen Yolcu,Türkiye,Havalimanı,S. Gökçen,194453
