Date,Avg Temperature (C),Condition,Avg Humidity (%),Avg Wind Speed (km/h),Total Precipitation (mm)
2019-01-01,7,Overcast,68,26,0.0
2019-01-02,7,Patchy rain possible,74,14,0.2
2019-01-03,7,Moderate rain at times,76,22,10.3
2019-01-04,5,Moderate or heavy rain shower,77,32,16.4
2019-01-05,4,Moderate or heavy rain shower,84,28,12.8
2019-01-06,4,Patchy rain possible,72,18,0.6
2019-01-07,2,Patchy rain possible,76,26,1.6
2019-01-08,2,Patchy rain possible,74,25,1.4
2019-01-09,4,Overcast,63,27,0.5
2019-01-10,10,Heavy rain at times,73,33,3.2
2019-01-11,9,Moderate or heavy rain shower,86,25,22.9
2019-01-12,5,Heavy rain at times,82,22,14.0
2019-01-13,4,Overcast,75,16,0.9
2019-01-14,7,Patchy rain possible,74,18,0.3
2019-01-15,5,Heavy rain at times,74,25,12.2
2019-01-16,4,Cloudy,62,23,0.1
2019-01-17,8,Sunny,67,17,0.0
2019-01-18,9,Partly cloudy,67,18,0.0
2019-01-19,10,Overcast,77,14,0.2
2019-01-20,9,Moderate rain at times,70,12,1.1
2019-01-21,8,Patchy rain possible,81,16,2.2
2019-01-22,8,Overcast,79,17,0.0
2019-01-23,10,Heavy rain at times,76,18,5.9
2019-01-24,11,Patchy rain possible,68,19,0.9
2019-01-25,11,Patchy rain possible,68,19,0.1
2019-01-26,11,Moderate rain at times,71,13,3.1
2019-01-27,7,Moderate rain at times,84,17,2.2
2019-01-28,9,Partly cloudy,75,11,0.0
2019-01-29,12,Partly cloudy,65,18,0.4
2019-01-30,12,Patchy rain possible,64,13,0.1
2019-01-31,11,Moderate or heavy rain shower,68,20,9.1
2019-02-01,10,Moderate or heavy rain shower,68,24,4.2
2019-02-02,11,Sunny,68,15,0.0
2019-02-03,12,Sunny,62,11,0.0
2019-02-04,12,Sunny,62,8,0.0
2019-02-05,10,Sunny,75,18,0.0
2019-02-06,9,Heavy rain at times,83,23,2.9
2019-02-07,8,Heavy rain at times,80,29,6.9
2019-02-08,7,Moderate rain at times,82,19,3.8
2019-02-09,7,Patchy rain possible,76,17,0.2
2019-02-10,7,Sunny,68,6,0.0
2019-02-11,9,Partly cloudy,65,17,0.0
2019-02-12,12,Moderate or heavy rain shower,75,26,10.4
2019-02-13,7,Moderate or heavy rain shower,80,31,16.8
2019-02-14,7,Patchy rain possible,69,33,0.8
2019-02-15,7,Moderate rain at times,70,31,2.8
2019-02-16,7,Patchy rain possible,70,28,0.4
2019-02-17,7,Partly cloudy,68,13,0.0
2019-02-18,8,Sunny,67,7,0.0
2019-02-19,9,Sunny,73,14,0.0
2019-02-20,9,Partly cloudy,71,8,0.0
2019-02-21,9,Patchy rain possible,73,12,0.2
2019-02-22,8,Cloudy,70,8,0.0
2019-02-23,4,Heavy rain at times,83,37,12.0
2019-02-24,4,Moderate rain at times,84,34,4.7
2019-02-25,6,Patchy rain possible,81,32,0.7
2019-02-26,7,Cloudy,66,15,0.1
2019-02-27,6,Moderate rain at times,69,26,5.7
2019-02-28,7,Partly cloudy,66,22,0.2
2019-03-01,11,Overcast,70,27,0.0
2019-03-02,10,Patchy rain possible,78,18,0.4
2019-03-03,7,Partly cloudy,63,23,0.0
2019-03-04,7,Sunny,53,7,0.0
2019-03-05,10,Cloudy,59,17,0.0
2019-03-06,11,Moderate rain at times,76,15,3.5
2019-03-07,11,Sunny,57,9,0.0
2019-03-08,12,Sunny,60,9,0.0
2019-03-09,12,Cloudy,68,15,0.0
2019-03-10,12,Patchy rain possible,70,17,0.1
2019-03-11,13,Partly cloudy,61,16,0.0
2019-03-12,11,Moderate or heavy rain shower,79,26,20.5
2019-03-13,7,Heavy rain at times,80,34,12.5
2019-03-14,8,Patchy rain possible,71,16,0.1
2019-03-15,8,Patchy rain possible,71,11,0.2
2019-03-16,9,Cloudy,65,16,0.0
2019-03-17,11,Partly cloudy,65,13,0.0
2019-03-18,14,Sunny,61,8,0.0
2019-03-19,13,Cloudy,67,7,0.0
2019-03-20,11,Sunny,71,20,0.0
2019-03-21,9,Cloudy,73,26,0.0
2019-03-22,9,Sunny,56,18,0.0
2019-03-23,10,Partly cloudy,58,17,0.0
2019-03-24,8,Partly cloudy,52,17,0.0
2019-03-25,9,Sunny,53,10,0.0
2019-03-26,11,Sunny,57,11,0.0
2019-03-27,10,Overcast,73,18,0.0
2019-03-28,8,Overcast,61,28,0.0
2019-03-29,7,Partly cloudy,60,35,0.0
2019-03-30,8,Patchy rain possible,64,36,0.2
2019-03-31,9,Partly cloudy,66,31,0.0
2019-04-01,10,Overcast,72,14,0.0
2019-04-02,10,Partly cloudy,74,21,0.0
2019-04-03,9,Overcast,70,23,0.0
2019-04-04,9,Overcast,74,20,0.0
2019-04-05,11,Sunny,72,12,0.0
2019-04-06,11,Cloudy,77,19,0.0
2019-04-07,12,Cloudy,75,8,1.8
2019-04-08,14,Cloudy,74,9,0.6
2019-04-09,13,Moderate or heavy rain shower,74,11,3.3
2019-04-10,12,Moderate rain at times,81,12,3.0
2019-04-11,13,Moderate or heavy rain shower,75,19,10.9
2019-04-12,14,Patchy rain possible,73,22,3.0
2019-04-13,13,Patchy rain possible,74,7,4.6
2019-04-14,12,Moderate or heavy rain shower,85,13,6.3
2019-04-15,10,Patchy rain possible,79,18,0.2
2019-04-16,10,Patchy rain possible,60,17,0.1
2019-04-17,11,Partly cloudy,61,9,0.0
2019-04-18,10,Patchy rain possible,77,19,1.0
2019-04-19,10,Patchy rain possible,61,19,0.5
2019-04-20,9,Moderate rain at times,60,21,2.1
2019-04-21,10,Partly cloudy,52,14,0.0
2019-04-22,10,Sunny,52,11,0.0
2019-04-23,12,Cloudy,56,15,0.0
2019-04-24,14,Patchy rain possible,63,9,4.2
2019-04-25,15,Partly cloudy,65,11,0.0
2019-04-26,14,Partly cloudy,66,13,0.0
2019-04-27,14,Cloudy,60,7,0.0
