Date,YoY_Inflation (%)
2019-01-01,16.824771071147143
2019-04-01,15.438511540358983
2019-07-01,13.492457689432532
2019-10-01,10.583736912158772
2020-01-01,12.348298726101545
2020-04-01,12.223215255061113
2020-07-01,11.664635008307068
2020-10-01,14.270226539503293
2021-01-01,16.34231039020288
2021-04-01,16.346780213810387
2021-07-01,15.585788539766568
2021-10-01,29.274404931982293
2022-01-01,48.61544505262412
2022-04-01,59.940114114781466
2022-07-01,69.77679060070462
2022-10-01,59.702213109823525
2023-01-01,48.77227379971081
2023-04-01,49.796597616399964
2023-07-01,67.58071730222828
2023-10-01,70.21475190295926
2024-01-01,72.86
2024-04-01,74.06666666666666
2024-07-01,53.629999999999995
2024-10-01,46.74
