Date,Avg Temperature (C),Condition,Avg Humidity (%),Avg Wind Speed (km/h),Total Precipitation (mm)
2020-01-01,6,Moderate rain at times,67,19,2.5
2020-01-02,6,Heavy rain at times,67,28,8.6
2020-01-03,7,Patchy rain possible,64,17,0.5
2020-01-04,7,Partly cloudy,58,8,0.0
2020-01-05,7,Moderate rain at times,71,15,4.0
2020-01-06,7,Moderate or heavy rain shower,83,43,39.5
2020-01-07,7,Moderate or heavy rain shower,86,49,27.1
2020-01-08,6,Moderate rain at times,74,33,4.0
2020-01-09,6,Cloudy,67,18,0.1
2020-01-10,7,Sunny,65,6,0.0
2020-01-11,9,Partly cloudy,66,7,0.0
2020-01-12,7,Patchy rain possible,79,19,1.6
2020-01-13,7,Patchy rain possible,75,15,0.5
2020-01-14,7,Overcast,72,8,0.0
2020-01-15,8,Partly cloudy,78,19,0.0
2020-01-16,8,Patchy rain possible,76,26,0.2
2020-01-17,8,Overcast,70,27,0.0
2020-01-18,7,Patchy rain possible,68,24,0.1
2020-01-19,7,Patchy rain possible,66,17,0.7
2020-01-20,6,Patchy rain possible,73,27,1.9
2020-01-21,5,Patchy rain possible,72,17,0.3
2020-01-22,6,Sunny,69,10,0.0
2020-01-23,6,Patchy rain possible,62,23,0.2
2020-01-24,6,Sunny,55,8,0.0
2020-01-25,8,Sunny,57,18,0.0
2020-01-26,9,Overcast,63,16,0.0
2020-01-27,11,Moderate rain at times,63,12,1.2
2020-01-28,9,Moderate rain at times,78,16,6.7
2020-01-29,10,Moderate rain at times,77,24,6.4
2020-01-30,9,Moderate or heavy rain shower,72,12,13.2
2020-01-31,7,Cloudy,61,18,0.0
2020-02-01,9,Overcast,72,20,0.8
2020-02-02,11,Sunny,74,17,0.0
2020-02-03,12,Cloudy,76,25,0.4
2020-02-04,12,Patchy rain possible,80,17,0.9
2020-02-05,11,Moderate or heavy rain shower,77,26,20.2
2020-02-06,5,Patchy rain possible,82,29,2.8
2020-02-07,3,Patchy rain possible,72,19,2.5
2020-02-08,1,Patchy rain possible,64,27,1.5
2020-02-09,2,Partly cloudy,50,11,0.0
2020-02-10,5,Sunny,55,19,0.0
2020-02-11,9,Patchy rain possible,68,30,0.5
2020-02-12,9,Moderate rain at times,69,11,7.2
2020-02-13,8,Sunny,64,9,0.0
2020-02-14,8,Overcast,59,11,0.0
2020-02-15,8,Patchy rain possible,84,15,2.8
2020-02-16,8,Overcast,76,24,0.0
2020-02-17,7,Sunny,77,18,0.0
2020-02-18,8,Sunny,74,9,0.0
2020-02-19,8,Overcast,73,8,0.0
2020-02-20,8,Moderate rain at times,78,15,6.5
2020-02-21,7,Moderate rain at times,79,24,3.9
2020-02-22,6,Overcast,74,19,0.0
2020-02-23,7,Sunny,62,12,0.0
2020-02-24,9,Partly cloudy,69,24,0.5
2020-02-25,9,Partly cloudy,58,11,0.0
2020-02-26,12,Sunny,58,25,0.0
2020-02-27,13,Patchy rain possible,63,38,9.3
2020-02-28,8,Overcast,62,14,0.4
2020-02-29,7,Heavy rain at times,78,23,7.5
2020-03-01,8,Partly cloudy,65,6,0.0
2020-03-02,10,Partly cloudy,64,14,0.0
2020-03-03,14,Sunny,59,17,0.0
2020-03-04,14,Cloudy,58,5,0.0
2020-03-05,12,Patchy rain possible,73,7,8.6
2020-03-06,11,Moderate or heavy rain shower,78,9,12.0
2020-03-07,13,Partly cloudy,61,15,0.0
2020-03-08,15,Cloudy,54,7,0.0
2020-03-09,13,Cloudy,68,15,0.0
2020-03-10,10,Moderate rain at times,83,17,7.7
2020-03-11,11,Cloudy,76,7,0.2
2020-03-12,12,Sunny,67,11,0.0
2020-03-13,12,Sunny,67,15,0.0
2020-03-14,11,Sunny,73,12,0.0
2020-03-15,9,Moderate rain at times,79,32,6.9
2020-03-16,6,Cloudy,61,34,0.9
2020-03-17,6,Sunny,53,20,0.0
2020-03-18,7,Patchy rain possible,60,23,0.4
2020-03-19,7,Patchy rain possible,63,25,1.0
2020-03-20,9,Cloudy,58,10,0.0
2020-03-21,9,Sunny,54,5,0.0
2020-03-22,11,Cloudy,62,13,0.0
2020-03-23,9,Overcast,87,20,0.4
2020-03-24,9,Patchy rain possible,83,27,0.8
2020-03-25,9,Overcast,79,27,0.1
2020-03-26,9,Overcast,79,30,0.2
2020-03-27,10,Overcast,81,19,0.2
2020-03-28,8,Moderate rain at times,90,14,5.4
2020-03-29,9,Moderate or heavy rain shower,89,18,24.6
2020-03-30,11,Cloudy,72,14,0.0
2020-03-31,10,Overcast,70,22,0.0
2020-04-01,9,Overcast,80,26,0.0
2020-04-02,8,Moderate or heavy rain shower,81,29,21.5
2020-04-03,8,Heavy rain at times,70,12,8.7
2020-04-04,10,Moderate rain at times,77,15,6.7
2020-04-05,10,Heavy rain at times,84,36,9.8
2020-04-06,9,Patchy rain possible,75,40,2.0
2020-04-07,10,Partly cloudy,62,40,0.0
2020-04-08,9,Partly cloudy,63,34,0.0
2020-04-09,9,Partly cloudy,62,21,0.0
