Date,Avg Temperature (C),Condition,Avg Humidity (%),Avg Wind Speed (km/h),Total Precipitation (mm)
2021-06-24,23,Partly cloudy,63,7,0.0
2021-06-25,25,Sunny,66,6,0.0
2021-06-26,25,Partly cloudy,65,8,0.0
2021-06-27,25,Overcast,67,10,0.0
2021-06-28,25,Cloudy,69,14,0.0
2021-06-29,25,Sunny,61,15,0.0
2021-06-30,26,Sunny,60,15,0.0
2021-07-01,26,Sunny,57,7,0.0
2021-07-02,26,Sunny,67,19,0.0
2021-07-03,24,Moderate or heavy rain shower,63,17,6.4
2021-07-04,24,Heavy rain at times,60,10,7.3
2021-07-05,25,Cloudy,57,10,0.0
2021-07-06,23,Moderate or heavy rain shower,65,13,17.7
2021-07-07,24,Heavy rain at times,76,15,4.0
2021-07-08,24,Patchy rain possible,73,17,1.3
2021-07-09,25,Patchy rain possible,66,25,0.3
2021-07-10,25,Sunny,65,24,0.0
2021-07-11,25,Sunny,65,18,0.0
2021-07-12,25,Sunny,67,16,0.0
2021-07-13,26,Sunny,64,15,0.0
2021-07-14,26,Cloudy,69,17,0.0
2021-07-15,26,Sunny,63,19,0.0
2021-07-16,27,Sunny,62,22,0.0
2021-07-17,27,Sunny,71,16,0.0
2021-07-18,27,Sunny,69,21,0.0
2021-07-19,27,Cloudy,76,11,0.0
2021-07-20,27,Sunny,68,10,0.0
2021-07-21,26,Overcast,67,16,0.0
2021-07-22,25,Cloudy,61,23,0.0
2021-07-23,25,Overcast,56,21,0.0
2021-07-24,25,Overcast,57,24,0.0
2021-07-25,26,Partly cloudy,57,24,0.0
2021-07-26,26,Sunny,59,20,0.0
2021-07-27,26,Sunny,59,17,0.0
2021-07-28,27,Sunny,55,18,0.0
2021-07-29,27,Sunny,52,18,0.0
2021-07-30,28,Sunny,49,14,0.0
2021-07-31,28,Sunny,47,17,0.0
2021-08-01,28,Sunny,52,17,0.0
2021-08-02,28,Sunny,46,10,0.0
2021-08-03,29,Sunny,46,13,0.0
2021-08-04,28,Sunny,62,16,0.0
2021-08-05,28,Sunny,58,15,0.0
2021-08-06,29,Partly cloudy,41,15,0.0
2021-08-07,25,Moderate or heavy rain shower,64,22,9.0
2021-08-08,26,Partly cloudy,62,18,0.0
2021-08-09,25,Sunny,55,12,0.0
2021-08-10,26,Sunny,58,12,0.0
2021-08-11,27,Heavy rain at times,54,9,2.5
2021-08-12,27,Partly cloudy,58,17,0.0
2021-08-13,26,Patchy rain possible,58,21,0.3
2021-08-14,26,Partly cloudy,52,21,0.0
2021-08-15,25,Sunny,53,19,0.0
2021-08-16,26,Sunny,54,20,0.0
2021-08-17,26,Sunny,59,20,0.0
2021-08-18,26,Sunny,64,17,0.0
2021-08-19,25,Moderate rain at times,69,21,0.7
2021-08-20,25,Sunny,59,19,0.0
2021-08-21,25,Sunny,62,23,0.0
2021-08-22,25,Partly cloudy,63,25,0.0
2021-08-23,25,Partly cloudy,64,25,0.0
2021-08-24,26,Sunny,66,22,0.0
2021-08-25,26,Partly cloudy,70,18,0.0
2021-08-26,25,Sunny,67,8,0.0
2021-08-27,26,Sunny,64,10,0.0
2021-08-28,27,Sunny,72,20,0.0
2021-08-29,26,Cloudy,71,10,0.0
2021-08-30,26,Patchy rain possible,67,14,0.3
2021-08-31,25,Sunny,62,17,0.0
2021-09-01,25,Cloudy,54,18,0.0
2021-09-02,23,Patchy rain possible,50,20,0.3
2021-09-03,22,Overcast,53,23,0.0
2021-09-04,22,Sunny,51,18,0.0
2021-09-05,22,Cloudy,56,23,0.0
2021-09-06,23,Patchy rain possible,56,35,0.7
2021-09-07,22,Cloudy,53,35,0.0
2021-09-08,23,Partly cloudy,57,33,0.0
2021-09-09,23,Patchy rain possible,61,29,0.1
2021-09-10,21,Moderate rain at times,79,19,4.0
2021-09-11,22,Cloudy,61,8,0.0
2021-09-12,21,Sunny,55,9,0.0
2021-09-13,22,Partly cloudy,64,16,0.0
2021-09-14,22,Sunny,66,18,0.0
2021-09-15,23,Overcast,66,15,0.0
2021-09-16,23,Cloudy,60,12,0.0
2021-09-17,22,Sunny,52,7,0.0
2021-09-18,24,Partly cloudy,50,11,0.9
2021-09-19,23,Partly cloudy,65,7,3.5
2021-09-20,24,Sunny,66,8,0.0
2021-09-21,21,Overcast,73,23,0.0
2021-09-22,19,Patchy rain possible,58,20,1.0
2021-09-23,16,Heavy rain at times,64,24,8.1
2021-09-24,17,Sunny,50,11,0.1
2021-09-25,21,Sunny,54,14,0.0
2021-09-26,21,Sunny,50,13,0.0
2021-09-27,21,Sunny,64,19,0.0
2021-09-28,20,Partly cloudy,67,21,0.0
2021-09-29,19,Patchy rain possible,61,26,0.2
2021-09-30,19,Overcast,59,29,0.0
2021-10-01,18,Patchy rain possible,63,27,1.1
2021-10-02,18,Patchy rain possible,62,26,0.6
2021-10-03,18,Cloudy,64,18,0.0
2021-10-04,18,Cloudy,66,17,0.0
2021-10-05,18,Cloudy,64,22,0.0
2021-10-06,17,Cloudy,59,18,0.0
2021-10-07,18,Sunny,68,22,0.0
2021-10-08,19,Patchy rain possible,71,25,0.1
2021-10-09,18,Patchy rain possible,79,19,4.5
2021-10-10,18,Overcast,81,26,0.0
2021-10-11,18,Overcast,79,15,0.0
2021-10-12,18,Patchy rain possible,83,13,1.7
2021-10-13,15,Heavy rain at times,78,17,13.2
2021-10-14,17,Cloudy,74,22,0.0
2021-10-15,18,Patchy rain possible,83,18,0.6
2021-10-16,18,Patchy rain possible,75,14,4.0
2021-10-17,16,Heavy rain at times,85,17,7.7
2021-10-18,16,Patchy rain possible,74,17,0.8
2021-10-19,16,Partly cloudy,70,15,0.0
2021-10-20,16,Partly cloudy,64,19,0.0
2021-10-21,15,Sunny,66,8,0.0
2021-10-22,17,Sunny,62,11,0.0
2021-10-23,17,Partly cloudy,69,9,0.0
2021-10-24,15,Moderate rain at times,75,21,4.6
2021-10-25,14,Partly cloudy,54,27,0.0
2021-10-26,15,Sunny,62,24,0.0
2021-10-27,15,Cloudy,71,20,0.0
2021-10-28,15,Partly cloudy,63,22,0.0
2021-10-29,15,Partly cloudy,66,24,0.0
2021-10-30,15,Partly cloudy,67,25,0.0
2021-10-31,15,Cloudy,67,13,0.5
2021-11-01,15,Moderate rain at times,85,8,4.8
2021-11-02,15,Overcast,76,8,9.6
2021-11-03,17,Overcast,76,11,1.0
2021-11-04,18,Sunny,69,6,0.0
2021-11-05,16,Overcast,63,4,0.0
2021-11-06,16,Sunny,60,12,0.0
2021-11-07,16,Sunny,76,17,0.0
2021-11-08,16,Sunny,70,5,0.0
2021-11-09,16,Sunny,75,12,4.2
2021-11-10,12,Patchy rain possible,69,30,1.1
2021-11-11,12,Partly cloudy,61,28,0.0
2021-11-12,13,Sunny,66,16,0.0
2021-11-13,13,Overcast,55,8,0.0
2021-11-14,13,Overcast,46,6,0.0
2021-11-15,13,Overcast,66,18,0.0
2021-11-16,13,Overcast,68,30,0.0
2021-11-17,12,Cloudy,67,20,0.0
2021-11-18,12,Partly cloudy,68,8,0.0
2021-11-19,11,Patchy rain possible,66,12,0.2
2021-11-20,10,Overcast,63,8,0.0
2021-11-21,12,Sunny,65,7,0.0
2021-11-22,14,Sunny,61,14,0.0
2021-11-23,14,Moderate or heavy rain shower,73,16,18.5
2021-11-24,12,Patchy rain possible,72,28,0.9
2021-11-25,11,Cloudy,72,19,0.0
2021-11-26,12,Moderate or heavy rain shower,76,11,3.9
2021-11-27,16,Cloudy,77,26,7.2
2021-11-28,16,Heavy rain at times,74,25,5.9
2021-11-29,17,Heavy rain at times,66,38,9.5
2021-11-30,12,Moderate or heavy rain shower,70,31,8.9
2021-12-01,9,Partly cloudy,58,21,0.1
2021-12-02,12,Sunny,56,22,0.0
2021-12-03,15,Cloudy,67,30,0.0
2021-12-04,13,Moderate or heavy rain shower,83,16,7.1
2021-12-05,13,Cloudy,80,9,0.3
2021-12-06,15,Partly cloudy,70,16,0.0
2021-12-07,14,Heavy rain at times,74,10,3.2
2021-12-08,11,Heavy rain at times,78,14,2.5
2021-12-09,13,Patchy rain possible,66,17,0.3
2021-12-10,14,Cloudy,67,18,7.7
2021-12-11,14,Overcast,64,19,0.1
2021-12-12,13,Heavy rain at times,79,18,13.3
2021-12-13,12,Heavy rain at times,84,18,10.2
2021-12-14,10,Patchy rain possible,82,28,3.2
2021-12-15,8,Moderate rain at times,84,31,5.3
2021-12-16,5,Moderate rain at times,94,20,7.9
2021-12-17,5,Moderate rain at times,94,20,6.3
2021-12-18,6,Patchy rain possible,84,26,6.2
2021-12-19,7,Patchy rain possible,69,28,1.9
2021-12-20,7,Patchy rain possible,63,18,1.2
2021-12-21,5,Cloudy,56,14,0.0
2021-12-22,4,Cloudy,57,9,0.0
2021-12-23,4,Patchy rain possible,60,9,0.3
2021-12-24,6,Cloudy,57,24,0.0
2021-12-25,10,Sunny,61,32,0.0
2021-12-26,12,Cloudy,68,30,0.0
2021-12-27,12,Partly cloudy,70,27,0.0
2021-12-28,12,Cloudy,67,20,0.0
2021-12-29,11,Moderate rain at times,80,11,5.0
2021-12-30,11,Overcast,76,20,0.4
