Date,Avg Temperature (C),Condition,Avg Humidity (%),Avg Wind Speed (km/h),Total Precipitation (mm)
2021-04-09,7,Moderate rain at times,62,19,3.3
2021-04-10,8,Patchy rain possible,57,19,0.1
2021-04-11,8,Partly cloudy,61,15,0.0
2021-04-12,10,Overcast,64,8,0.0
2021-04-13,12,Sunny,62,8,1.4
2021-04-14,13,Cloudy,73,13,1.6
2021-04-15,11,Patchy rain possible,77,17,0.3
2021-04-16,11,Cloudy,69,18,0.6
2021-04-17,11,Patchy rain possible,75,24,2.5
2021-04-18,12,Patchy rain possible,81,10,0.8
2021-04-19,12,Heavy rain at times,89,15,7.6
2021-04-20,11,Patchy rain possible,83,16,1.3
2021-04-21,12,Sunny,70,7,0.0
2021-04-22,12,Sunny,64,7,0.0
2021-04-23,14,Overcast,62,8,0.0
2021-04-24,13,Patchy rain possible,77,17,1.4
2021-04-25,10,Patchy rain possible,88,25,3.6
2021-04-26,12,Cloudy,65,16,0.0
2021-04-27,13,Partly cloudy,59,7,0.0
2021-04-28,15,Cloudy,62,11,0.0
2021-04-29,14,Sunny,70,14,0.0
2021-04-30,15,Partly cloudy,68,6,0.0
2021-05-01,17,Sunny,66,5,0.0
2021-05-02,19,Partly cloudy,60,12,0.0
2021-05-03,19,Sunny,66,13,0.0
2021-05-04,16,Cloudy,76,18,0.0
2021-05-05,16,Cloudy,66,16,0.0
2021-05-06,16,Cloudy,67,7,0.0
2021-05-07,18,Partly cloudy,60,7,0.0
2021-05-08,17,Patchy rain possible,72,16,4.0
2021-05-09,14,Sunny,62,25,0.0
2021-05-10,14,Sunny,56,28,0.0
2021-05-11,14,Sunny,55,24,0.0
2021-05-12,16,Sunny,57,14,0.0
2021-05-13,17,Sunny,56,6,0.0
2021-05-14,18,Cloudy,63,9,0.0
2021-05-15,18,Cloudy,61,7,0.0
2021-05-16,18,Moderate or heavy rain shower,68,10,4.2
2021-05-17,18,Cloudy,66,11,0.0
2021-05-18,19,Heavy rain at times,66,12,2.6
2021-05-19,19,Sunny,53,11,0.0
2021-05-20,19,Sunny,61,16,0.0
2021-05-21,16,Moderate or heavy rain shower,78,25,26.8
2021-05-22,16,Patchy rain possible,70,15,1.9
2021-05-23,18,Partly cloudy,60,5,0.0
2021-05-24,19,Sunny,48,11,0.0
2021-05-25,19,Sunny,61,20,0.0
2021-05-26,18,Partly cloudy,69,22,0.0
2021-05-27,18,Cloudy,77,20,0.0
2021-05-28,18,Partly cloudy,75,10,0.0
2021-05-29,18,Heavy rain at times,76,11,4.0
2021-05-30,19,Partly cloudy,66,11,0.0
2021-05-31,18,Patchy rain possible,71,13,0.5
2021-06-01,16,Moderate or heavy rain shower,88,18,17.7
2021-06-02,15,Patchy rain possible,72,14,9.3
2021-06-03,17,Patchy rain possible,68,13,0.2
2021-06-04,17,Cloudy,69,11,0.0
2021-06-05,18,Cloudy,63,10,0.0
2021-06-06,19,Sunny,58,6,0.0
2021-06-07,20,Partly cloudy,57,7,0.0
2021-06-08,20,Patchy rain possible,60,10,0.3
2021-06-09,20,Cloudy,64,14,0.0
2021-06-10,21,Sunny,63,15,0.0
2021-06-11,21,Cloudy,66,13,0.0
2021-06-12,22,Sunny,64,10,0.0
2021-06-13,21,Partly cloudy,61,9,1.8
2021-06-14,19,Patchy rain possible,68,20,1.6
2021-06-15,18,Heavy rain at times,68,12,5.3
2021-06-16,18,Moderate or heavy rain shower,81,20,16.9
2021-06-17,20,Patchy rain possible,69,9,1.2
2021-06-18,21,Moderate rain at times,72,8,3.6
2021-06-19,21,Moderate or heavy rain shower,77,10,17.6
2021-06-20,21,Patchy rain possible,72,8,0.1
2021-06-21,22,Overcast,72,9,0.0
2021-06-22,22,Sunny,67,5,0.0
2021-06-23,23,Heavy rain at times,64,6,1.7
