Date,Avg Temperature (C),Condition,Avg Humidity (%),Avg Wind Speed (km/h),Total Precipitation (mm)
2020-04-10,10,Sunny,56,8,0.0
2020-04-11,12,Sunny,51,14,0.0
2020-04-12,11,Sunny,58,21,0.0
2020-04-13,11,Sunny,60,10,0.0
2020-04-14,14,Partly cloudy,58,16,0.0
2020-04-15,10,Moderate rain at times,80,27,4.7
2020-04-16,10,Sunny,51,17,0.0
2020-04-17,12,Partly cloudy,48,6,0.0
2020-04-18,14,Sunny,59,8,0.0
2020-04-19,15,Sunny,58,6,0.0
2020-04-20,13,Overcast,75,22,0.0
2020-04-21,10,Moderate rain at times,71,26,1.5
2020-04-22,11,Cloudy,63,29,0.0
2020-04-23,11,Partly cloudy,60,27,0.0
2020-04-24,11,Sunny,65,26,0.0
2020-04-25,10,Sunny,63,9,0.0
2020-04-26,14,Sunny,56,12,0.0
2020-04-27,14,Partly cloudy,61,11,0.0
2020-04-28,15,Sunny,58,12,0.0
2020-04-29,15,Partly cloudy,51,6,0.0
2020-04-30,16,Partly cloudy,61,9,0.0
2020-05-01,16,Overcast,71,11,0.0
2020-05-02,17,Cloudy,67,9,0.0
2020-05-03,16,Patchy rain possible,71,8,6.6
2020-05-04,14,Moderate or heavy rain shower,85,10,21.1
2020-05-05,14,Patchy rain possible,80,10,3.0
2020-05-06,16,Overcast,73,15,0.2
2020-05-07,13,Moderate rain at times,60,11,6.8
2020-05-08,14,Patchy rain possible,64,13,0.3
2020-05-09,15,Sunny,48,9,0.0
2020-05-10,17,Sunny,52,6,0.0
2020-05-11,19,Partly cloudy,50,9,0.0
2020-05-12,20,Sunny,48,21,0.0
2020-05-13,17,Partly cloudy,72,18,0.0
2020-05-14,17,Sunny,68,7,0.0
2020-05-15,20,Sunny,55,13,0.0
2020-05-16,21,Sunny,49,18,0.0
2020-05-17,20,Overcast,55,18,0.0
2020-05-18,19,Partly cloudy,64,21,0.0
2020-05-19,20,Sunny,54,20,0.0
2020-05-20,20,Overcast,59,11,0.0
2020-05-21,18,Overcast,74,24,0.3
2020-05-22,15,Moderate or heavy rain shower,66,25,10.4
2020-05-23,14,Moderate or heavy rain shower,61,14,4.4
2020-05-24,15,Sunny,54,7,0.0
2020-05-25,16,Patchy rain possible,65,12,1.3
2020-05-26,16,Sunny,62,17,0.0
2020-05-27,15,Moderate or heavy rain shower,71,21,8.2
2020-05-28,16,Moderate or heavy rain shower,69,8,4.4
2020-05-29,16,Patchy rain possible,65,9,0.8
2020-05-30,18,Overcast,62,12,0.0
2020-05-31,18,Sunny,58,10,0.0
2020-06-01,18,Heavy rain at times,65,11,2.5
2020-06-02,17,Moderate rain at times,63,8,0.6
2020-06-03,17,Moderate or heavy rain shower,66,7,4.0
2020-06-04,18,Patchy rain possible,64,13,0.6
2020-06-05,21,Sunny,55,11,0.0
2020-06-06,22,Overcast,47,10,0.0
2020-06-07,21,Cloudy,55,10,0.0
2020-06-08,21,Sunny,60,8,0.0
2020-06-09,23,Sunny,54,7,0.0
2020-06-10,23,Patchy rain possible,57,11,0.1
2020-06-11,22,Cloudy,59,10,0.0
2020-06-12,21,Overcast,67,14,6.4
2020-06-13,21,Moderate rain at times,66,11,1.7
2020-06-14,22,Moderate or heavy rain shower,67,14,19.0
2020-06-15,23,Moderate or heavy rain shower,66,10,4.7
2020-06-16,23,Overcast,61,9,1.3
2020-06-17,24,Partly cloudy,57,10,0.0
2020-06-18,23,Moderate or heavy rain shower,61,9,4.7
2020-06-19,22,Moderate or heavy rain shower,66,10,14.8
2020-06-20,24,Cloudy,63,13,0.3
2020-06-21,24,Cloudy,58,11,0.0
2020-06-22,24,Partly cloudy,64,8,0.0
2020-06-23,23,Patchy rain possible,67,8,0.2
