date,Country Code,ziyaretci_sayisi
2022-04,BLZ,66
2022-07,BLZ,98
2022-10,BLZ,78
2023-01,BLZ,53
2023-04,BLZ,77
2023-07,BLZ,152
2023-10,BLZ,89
2024-01,BLZ,54
2024-04,BLZ,97
2024-07,BLZ,42
2019-01,BEL,31553
2019-04,BEL,36766
2019-07,BEL,37595
2019-10,BEL,33700
2020-01,BEL,26746
2020-04,BEL,3131
2020-07,BEL,17613
2020-10,BEL,20341
2021-01,BEL,12005
2021-04,BEL,22764
2021-07,BEL,43265
2021-10,BEL,39980
2022-01,BEL,38675
2022-04,BEL,41598
2022-07,BEL,45662
2022-10,BEL,38501
2023-01,BEL,36611
2023-04,BEL,39590
2023-07,BEL,44966
2023-10,BEL,43766
2024-01,BEL,39191
2024-04,BEL,46812
2024-07,BEL,20322
2022-01,BEN,410
2022-04,BEN,416
2022-07,BEN,438
2022-10,BEN,449
2023-01,BEN,365
2023-04,BEN,287
2023-07,BEN,490
2023-10,BEN,301
2024-01,BEN,217
2024-04,BEN,290
2024-07,BEN,152
2022-01,BTN,3
2022-04,BTN,6
2022-07,BTN,13
2022-10,BTN,11
2023-01,BTN,9
2023-04,BTN,22
2023-07,BTN,14
2023-10,BTN,19
2024-01,BTN,7
2024-04,BTN,25
2024-07,BTN,2
2021-01,ARE,2673
2021-07,ARE,10593
2021-10,ARE,20848
2022-01,ARE,17426
2022-04,ARE,19496
2022-07,ARE,28481
2022-10,ARE,29947
2023-01,ARE,10957
2023-04,ARE,21470
2023-07,ARE,24138
2023-10,ARE,18507
2024-01,ARE,11200
2024-04,ARE,19047
2024-07,ARE,7077
2019-01,GBR,95768
2019-04,GBR,123170
2019-07,GBR,148156
2019-10,GBR,122702
2020-01,GBR,81344
2020-04,GBR,5753
2020-07,GBR,99075
2020-10,GBR,50230
2021-01,GBR,13309
2021-04,GBR,29140
2021-07,GBR,51597
2021-10,GBR,118363
2022-01,GBR,106596
2022-04,GBR,169840
2022-07,GBR,192172
2022-10,GBR,144591
2023-01,GBR,122560
2023-04,GBR,198648
2023-07,GBR,205988
2023-10,GBR,174165
2024-01,GBR,158628
2024-04,GBR,205921
2024-07,GBR,84542
2019-04,BOL,354
2020-04,BOL,4
2022-01,BOL,360
2022-04,BOL,663
2022-07,BOL,782
2022-10,BOL,878
2023-01,BOL,543
2023-04,BOL,830
2023-07,BOL,817
2023-10,BOL,900
2024-01,BOL,655
2024-04,BOL,902
2024-07,BOL,275
2022-01,BWA,58
2022-04,BWA,127
2022-07,BWA,140
2022-10,BWA,102
2023-01,BWA,80
2023-04,BWA,122
2023-07,BWA,163
2023-10,BWA,101
2024-01,BWA,150
2024-04,BWA,133
2024-07,BWA,48
2019-01,BRA,18063
2019-04,BRA,13993
2019-07,BRA,18695
2019-10,BRA,21169
2020-01,BRA,13412
2020-04,BRA,43
2020-07,BRA,1649
2020-10,BRA,5289
2021-01,BRA,1297
2022-01,BRA,10369
2022-04,BRA,16800
2022-07,BRA,20592
2022-10,BRA,18556
2023-01,BRA,12771
2023-04,BRA,22003
2023-07,BRA,24041
2023-10,BRA,20513
2024-01,BRA,17484
2024-04,BRA,23474
2024-07,BRA,9943
2022-01,BRN,22
2022-04,BRN,67
2022-07,BRN,129
2022-10,BRN,601
2023-01,BRN,335
2023-04,BRN,233
2023-07,BRN,220
2023-10,BRN,784
2024-01,BRN,261
2024-04,BRN,271
2024-07,BRN,66
2019-01,BGR,23506
2019-04,BGR,22829
2019-07,BGR,22222
2019-10,BGR,23815
2020-01,BGR,19203
2020-04,BGR,1195
2020-07,BGR,9086
2020-10,BGR,9926
2021-01,BGR,6131
2021-04,BGR,8854
2021-07,BGR,16401
2021-10,BGR,18932
2022-01,BGR,19759
2022-04,BGR,26676
2022-07,BGR,26472
2022-10,BGR,27899
2023-01,BGR,32593
2023-04,BGR,35419
2023-07,BGR,33811
2023-10,BGR,36271
2024-01,BGR,42028
2024-04,BGR,43163
2024-07,BGR,14257
2022-01,BFA,628
2022-04,BFA,717
2022-07,BFA,1028
2022-10,BFA,827
2023-01,BFA,611
2023-04,BFA,760
2023-07,BFA,1204
2023-10,BFA,842
2024-01,BFA,597
2024-04,BFA,612
2024-07,BFA,379
2022-01,BDI,154
2022-04,BDI,112
2022-07,BDI,157
2022-10,BDI,129
2023-01,BDI,86
2023-04,BDI,96
2023-07,BDI,142
2023-10,BDI,109
2024-01,BDI,89
2024-04,BDI,75
2024-07,BDI,35
2022-01,CPV,46
2022-04,CPV,96
2022-07,CPV,69
2022-10,CPV,95
2023-01,CPV,47
