tarih,havalimani,hat,yolcu_sayisi
2023-07-01,Gökçeada,İç,0
2023-07-01,Hakkari Yüksekova,İç,15777
2023-07-01,Hatay,İç,2174
2023-07-01,Isparta,İç,5035
2023-07-01,Iğdır,İç,37350
2023-07-01,Kahramanmaraş,İç,19749
2023-07-01,Kars,İç,53198
2023-07-01,Kastamonu,İç,6181
2023-07-01,Kayseri,İç,172590
2023-07-01,Kocaeli,İç,0
2023-07-01,Konya,İç,74304
2023-07-01,Malatya,İç,68994
2023-07-01,Mardin,İç,60042
2023-07-01,Muğla Dalaman,İç,270620
2023-07-01,Muğla Milas-Bodrum,İç,374824
2023-07-01,Muş,İç,45881
2023-07-01,Nevşehir Kapadokya,İç,60758
2023-07-01,Ordu-Giresun,İç,108364
2023-07-01,Rize-Artvin,İç,118334
2023-07-01,Samsun Çarşamba,İç,112954
2023-07-01,Siirt,İç,7524
2023-07-01,Sinop,İç,10980
2023-07-01,Sivas,İç,45152
2023-07-01,Tekirdağ Çorlu,İç,2842
2023-07-01,Tokat,İç,15046
2023-07-01,Trabzon,İç,319510
2023-07-01,Uşak,İç,0
2023-07-01,Van,İç,125285
2023-07-01,Zafer,İç,3502
2023-07-01,Zonguldak Çaycuma,İç,2621
2023-07-01,Çanakkale,İç,18310
2023-07-01,İstanbul,İç,1954788
2023-07-01,İstanbul Atatürk,İç,0
2023-07-01,İstanbul Sabiha Gökçen,İç,1772502
2023-07-01,İzmir Adnan Menderes,İç,575054
2023-07-01,Şanlıurfa GAP,İç,68239
2023-07-01,Şırnak,İç,38000
2023-06-01,Adana,İç,344876
2023-06-01,Adıyaman,İç,29012
2023-06-01,Alanya Gazipaşa,İç,48044
2023-06-01,Amasya Merzifon,İç,11720
2023-06-01,Ankara Esenboğa,İç,821707
2023-06-01,Antalya,İç,610626
2023-06-01,Aydın,İç,0
2023-06-01,Ağrı,İç,30686
2023-06-01,Balıkesir Edremit,İç,31364
2023-06-01,Balıkesir Merkez,İç,0
2023-06-01,Batman,İç,53060
2023-06-01,Bingöl,İç,16549
2023-06-01,Bursa Yenişehir,İç,16403
2023-06-01,Denizli Çardak,İç,36131
2023-06-01,Diyarbakır,İç,173213
2023-06-01,Elazığ,İç,72221
2023-06-01,Erzincan,İç,40032
2023-06-01,Erzurum,İç,89447
2023-06-01,Eskişehir,İç,0
2023-06-01,Gaziantep,İç,189485
2023-06-01,Gökçeada,İç,0
2023-06-01,Hakkari Yüksekova,İç,18787
2023-06-01,Hatay,İç,3816
2023-06-01,Isparta,İç,6065
2023-06-01,Iğdır,İç,35716
2023-06-01,Kahramanmaraş,İç,21252
2023-06-01,Kars,İç,45970
2023-06-01,Kastamonu,İç,6032
2023-06-01,Kayseri,İç,162278
2023-06-01,Kocaeli,İç,0
2023-06-01,Konya,İç,63328
2023-06-01,Malatya,İç,64449
2023-06-01,Mardin,İç,68480
2023-06-01,Muğla Dalaman,İç,215835
2023-06-01,Muğla Milas-Bodrum,İç,282184
2023-06-01,Muş,İç,49203
2023-06-01,Nevşehir Kapadokya,İç,57502
2023-06-01,Ordu-Giresun,İç,91318
2023-06-01,Rize-Artvin,İç,87276
2023-06-01,Samsun Çarşamba,İç,109070
2023-06-01,Siirt,İç,6723
2023-06-01,Sinop,İç,8947
2023-06-01,Sivas,İç,38944
2023-06-01,Tekirdağ Çorlu,İç,1928
2023-06-01,Tokat,İç,14112
2023-06-01,Trabzon,İç,254344
2023-06-01,Uşak,İç,0
2023-06-01,Van,İç,136392
2023-06-01,Zafer,İç,3735
2023-06-01,Zonguldak Çaycuma,İç,3290
2023-06-01,Çanakkale,İç,14216
2023-06-01,İstanbul,İç,1807177
2023-06-01,İstanbul Atatürk,İç,0
2023-06-01,İstanbul Sabiha Gökçen,İç,1531967
2023-06-01,İzmir Adnan Menderes,İç,558552
2023-06-01,Şanlıurfa GAP,İç,78616
2023-06-01,Şırnak,İç,45260
2023-05-01,Adana,İç,356582
2023-05-01,Adıyaman,İç,36869
2023-05-01,Alanya Gazipaşa,İç,44443
2023-05-01,Amasya Merzifon,İç,10498
2023-05-01,Ankara Esenboğa,İç,808467
2023-05-01,Antalya,İç,558866
2023-05-01,Aydın,İç,0
2023-05-01,Ağrı,İç,28541
2023-05-01,Balıkesir Edremit,İç,19913
2023-05-01,Balıkesir Merkez,İç,0
2023-05-01,Batman,İç,56105
2023-05-01,Bingöl,İç,15628
2023-05-01,Bursa Yenişehir,İç,14598
2023-05-01,Denizli Çardak,İç,36359
2023-05-01,Diyarbakır,İç,183119
2023-05-01,Elazığ,İç,76733
2023-05-01,Erzincan,İç,36779
2023-05-01,Erzurum,İç,84234
2023-05-01,Eskişehir,İç,0
2023-05-01,Gaziantep,İç,208712
2023-05-01,Gökçeada,İç,0
2023-05-01,Hakkari Yüksekova,İç,15653
2023-05-01,Hatay,İç,17661
2023-05-01,Isparta,İç,6195
2023-05-01,Iğdır,İç,30548
2023-05-01,Kahramanmaraş,İç,27857
2023-05-01,Kars,İç,42335
2023-05-01,Kastamonu,İç,5214
2023-05-01,Kayseri,İç,177311
2023-05-01,Kocaeli,İç,0
2023-05-01,Konya,İç,65030
2023-05-01,Malatya,İç,76815
2023-05-01,Mardin,İç,62141
2023-05-01,Muğla Dalaman,İç,150608
2023-05-01,Muğla Milas-Bodrum,İç,190478
2023-05-01,Muş,İç,43712
2023-05-01,Nevşehir Kapadokya,İç,58273
2023-05-01,Ordu-Giresun,İç,89254
