Month,YoY_Inflation (%)
2019-01,17.591868647380764
2019-02,16.65369649805448
2019-03,16.228748068006183
2019-04,15.610859728506801
2019-05,15.887156644394956
2019-06,14.81751824817519
2019-07,15.991316931982652
2019-08,14.971751412429391
2019-09,9.51430472388555
2019-10,8.78334417696812
2019-11,11.26573889993373
2019-12,11.702127659574463
2020-01,12.341561040693795
2020-02,12.765957446808502
2020-03,11.937377690802336
2020-04,11.723254324151194
2020-05,12.96884933248568
2020-06,11.977542108546468
2020-07,11.547911547911536
2020-08,11.603888213851759
2020-09,11.842105263157903
2020-10,13.400833829660511
2020-11,14.166666666666675
2020-12,15.243179122182692
2021-01,15.736342042755345
2021-02,16.33254716981133
2021-03,16.958041958041957
2021-04,16.227064220183475
2021-05,16.657287563308962
2021-06,16.15598885793872
2021-07,15.19823788546255
2021-08,15.623298856831802
2021-09,15.935828877005353
2021-10,17.01680672268908
2021-11,31.074035453597492
2021-12,39.73237261966031
2022-01,44.125192406362224
2022-02,48.6568677141409
2022-03,53.064275037369214
2022-04,57.22742969906266
2022-05,58.85190545103715
2022-06,63.741007194244595
2022-07,67.92543021032506
2022-08,69.67984934086627
2022-09,71.7250922509225
2022-10,70.55655296229801
2022-11,54.29594272076371
2022-12,54.25414364640885
2023-01,51.90459238163048
2023-02,48.44868735083531
2023-03,45.963541666666664
2023-04,46.18763727643552
2023-05,47.37321591254175
2023-06,55.82893966022262
2023-07,64.30401366353544
2023-08,68.95116537180911
2023-09,69.48697287134031
2023-10,70.05263157894738
2023-11,70.3016241299304
2023-12,70.29
2024-01,70.48
2024-02,72.89
2024-03,75.21
2024-04,75.81
2024-05,74.98
2024-06,71.41
2024-07,60.23
2024-08,51.56
2024-09,49.10
2024-10,47.75
2024-11,47.13
2024-12,45.34
