Date,Avg Temperature (C),Condition,Avg Humidity (%),Avg Wind Speed (km/h),Total Precipitation (mm)
2022-05-09,14,Sunny,68,23,0.0
2022-05-10,15,Sunny,65,21,0.0
2022-05-11,15,Partly cloudy,69,17,0.0
2022-05-12,16,Sunny,60,12,0.0
2022-05-13,19,Sunny,47,9,0.0
2022-05-14,18,Sunny,54,7,0.0
2022-05-15,19,Patchy rain possible,64,8,0.2
2022-05-16,19,Partly cloudy,59,10,0.0
2022-05-17,20,Sunny,58,7,0.0
2022-05-18,18,Moderate rain at times,72,17,7.8
2022-05-19,14,Patchy rain possible,65,19,0.6
2022-05-20,16,Partly cloudy,58,8,0.0
2022-05-21,18,Sunny,51,6,0.0
2022-05-22,19,Partly cloudy,65,11,0.0
2022-05-23,18,Patchy rain possible,73,14,0.4
2022-05-24,19,Partly cloudy,59,13,1.0
2022-05-25,19,Partly cloudy,53,13,2.0
2022-05-26,21,Sunny,53,7,0.0
2022-05-27,22,Sunny,62,13,0.0
2022-05-28,22,Sunny,54,6,0.0
2022-05-29,22,Patchy rain possible,65,18,0.7
2022-05-30,23,Sunny,64,11,0.1
2022-05-31,23,Sunny,66,8,0.0
2022-06-01,23,Sunny,69,11,0.0
2022-06-02,22,Partly cloudy,65,17,0.0
2022-06-03,22,Sunny,73,19,0.0
2022-06-04,22,Partly cloudy,75,18,0.0
2022-06-05,23,Partly cloudy,70,10,0.0
2022-06-06,22,Overcast,69,16,0.0
2022-06-07,20,Patchy rain possible,75,17,0.5
2022-06-08,20,Heavy rain at times,75,14,4.8
2022-06-09,21,Sunny,68,5,0.0
2022-06-10,24,Patchy rain possible,63,8,0.4
2022-06-11,22,Moderate or heavy rain shower,71,16,6.1
2022-06-12,20,Moderate or heavy rain shower,84,15,12.1
2022-06-13,23,Overcast,77,18,0.0
2022-06-14,24,Sunny,69,13,0.0
2022-06-15,23,Moderate rain at times,71,21,0.7
2022-06-16,22,Sunny,60,24,0.0
2022-06-17,22,Sunny,69,20,0.0
2022-06-18,22,Sunny,67,22,0.0
2022-06-19,22,Sunny,65,25,0.0
2022-06-20,22,Patchy rain possible,68,19,1.4
2022-06-21,23,Patchy rain possible,64,10,1.1
2022-06-22,25,Sunny,64,9,0.2
2022-06-23,23,Partly cloudy,60,13,0.5
2022-06-24,23,Heavy rain at times,56,11,1.3
2022-06-25,23,Patchy rain possible,57,10,0.3
2022-06-26,23,Patchy rain possible,56,10,0.1
2022-06-27,23,Patchy rain possible,65,11,1.6
2022-06-28,23,Patchy rain possible,75,17,6.1
2022-06-29,23,Patchy rain possible,73,17,1.5
2022-06-30,24,Patchy rain possible,69,15,0.2
2022-07-01,25,Sunny,67,17,0.0
2022-07-02,25,Sunny,63,21,0.0
2022-07-03,24,Sunny,57,29,0.0
2022-07-04,24,Sunny,58,28,0.0
2022-07-05,25,Sunny,60,26,0.0
2022-07-06,26,Partly cloudy,64,22,0.0
2022-07-07,26,Partly cloudy,67,16,0.4
2022-07-08,25,Patchy rain possible,62,14,1.5
2022-07-09,25,Patchy rain possible,69,20,2.2
2022-07-10,23,Moderate or heavy rain shower,62,17,20.7
2022-07-11,24,Patchy rain possible,54,12,0.4
2022-07-12,24,Patchy rain possible,55,18,0.2
2022-07-13,24,Patchy rain possible,56,15,0.8
2022-07-14,24,Sunny,52,20,0.0
2022-07-15,25,Sunny,63,24,0.0
2022-07-16,25,Sunny,61,17,0.0
2022-07-17,26,Sunny,58,19,0.0
2022-07-18,25,Patchy rain possible,58,28,0.2
2022-07-19,24,Sunny,56,27,0.0
2022-07-20,25,Sunny,57,26,0.0
2022-07-21,24,Sunny,58,12,0.0
2022-07-22,25,Sunny,52,12,0.0
2022-07-23,26,Sunny,46,10,0.0
2022-07-24,27,Sunny,47,14,0.0
2022-07-25,26,Sunny,50,18,0.0
2022-07-26,26,Sunny,54,17,0.0
2022-07-27,27,Sunny,43,20,0.0
2022-07-28,26,Sunny,62,27,0.0
2022-07-29,27,Sunny,62,27,0.0
2022-07-30,27,Sunny,61,22,0.0
2022-07-31,27,Patchy rain possible,67,20,1.3
2022-08-01,27,Patchy rain possible,57,14,0.6
2022-08-02,26,Patchy rain possible,62,17,0.2
2022-08-03,26,Patchy rain possible,63,20,0.5
2022-08-04,26,Sunny,67,23,0.0
2022-08-05,26,Patchy rain possible,65,18,0.1
2022-08-06,26,Patchy rain possible,67,22,0.2
2022-08-07,27,Patchy rain possible,65,24,0.5
2022-08-08,28,Patchy rain possible,58,28,0.8
2022-08-09,28,Patchy rain possible,60,22,0.1
2022-08-10,27,Heavy rain at times,69,20,1.9
2022-08-11,25,Patchy rain possible,70,25,0.9
2022-08-12,26,Patchy rain possible,67,18,1.3
2022-08-13,27,Patchy rain possible,63,16,0.1
2022-08-14,26,Patchy rain possible,65,13,0.3
2022-08-15,25,Moderate or heavy rain shower,69,10,7.4
2022-08-16,27,Sunny,59,9,0.0
2022-08-17,28,Sunny,53,7,0.0
2022-08-18,28,Patchy rain possible,50,8,0.3
2022-08-19,27,Patchy rain possible,57,12,1.0
2022-08-20,27,Sunny,62,14,0.0
2022-08-21,26,Partly cloudy,71,19,0.0
2022-08-22,27,Partly cloudy,72,17,0.0
2022-08-23,27,Partly cloudy,73,14,0.0
2022-08-24,27,Partly cloudy,73,16,0.1
2022-08-25,26,Heavy rain at times,65,9,3.8
2022-08-26,26,Patchy rain possible,65,5,0.2
2022-08-27,27,Patchy rain possible,60,7,0.5
2022-08-28,28,Sunny,48,7,0.0
2022-08-29,28,Sunny,48,14,0.0
2022-08-30,28,Patchy rain possible,61,18,0.2
2022-08-31,27,Moderate or heavy rain shower,73,16,4.3
2022-09-01,27,Heavy rain at times,66,13,2.5
2022-09-02,27,Patchy rain possible,69,14,2.3
2022-09-03,25,Patchy rain possible,72,13,1.6
2022-09-04,24,Patchy rain possible,69,22,1.8
2022-09-05,23,Patchy rain possible,63,27,1.7
2022-09-06,23,Patchy rain possible,55,28,0.4
2022-09-07,23,Sunny,49,27,0.0
2022-09-08,23,Partly cloudy,55,22,0.0
2022-09-09,24,Sunny,58,16,0.0
2022-09-10,24,Sunny,60,9,0.0
2022-09-11,25,Patchy rain possible,59,10,0.1
