Date,Avg Temperature (C),Avg Humidity (%),Avg Wind Speed (km/h),Total Precipitation (mm),Monthly Tourists,TR_YoY_Inflation (%)
2019-01-01,7.483870967741935,73.2258064516129,20.06451612903226,122.7,918949.0,17.591868647380764
2019-02-01,8.071428571428571,72.28571428571429,20.142857142857142,72.8,984689.0,16.65369649805448
2019-03-01,9.870967741935484,65.09677419354838,18.41935483870968,37.5,1165591.0,16.228748068006183
2019-04-01,12.1,68.33333333333333,14.166666666666666,41.7,1329868.0,15.6108597285068
2019-05-01,18.258064516129032,65.48387096774194,12.35483870967742,31.3,1016809.0,15.887156644394956
2019-06-01,24.0,64.2,14.4,11.2,1361302.0,14.81751824817519
2019-07-01,24.096774193548388,60.80645161290322,15.774193548387096,46.1,1666319.0,15.991316931982652
2019-08-01,24.64516129032258,64.64516129032258,20.451612903225808,27.1,1540120.0,14.971751412429391
2019-09-01,21.83333333333333,63.36666666666667,18.466666666666665,14.9,1359175.0,9.51430472388555
2019-10-01,18.61290322580645,72.96774193548387,14.935483870967742,51.0,1347554.0,8.78334417696812
2019-11-01,17.033333333333335,64.7,13.6,51.8,1088372.0,11.26573889993373
2019-12-01,10.774193548387096,70.06451612903226,17.548387096774192,64.39999999999999,1127915.0,11.702127659574463
2020-01-01,7.290322580645161,69.48387096774194,19.32258064516129,119.3,1017034.0,12.341561040693795
2020-02-01,7.931034482758621,69.89655172413794,18.96551724137931,67.7,962151.0,12.765957446808502
2020-03-01,10.129032258064516,69.87096774193549,16.451612903225808,69.4,374101.0,11.937377690802336
2020-04-01,11.366666666666667,63.9,19.166666666666668,54.9,960.0,11.723254324151194
2020-05-01,16.838709677419356,62.96774193548387,13.451612903225806,67.8,847.0,12.96884933248568
2020-06-01,22.1,61.56666666666667,11.933333333333334,69.6,66725.0,11.977542108546468
2020-07-01,24.870967741935484,65.7741935483871,20.516129032258064,2.9,301930.0,11.547911547911536
2020-08-01,25.193548387096776,62.45161290322581,20.0,3.3000000000000003,436198.0,11.60388821385176
2020-09-01,23.7,64.16666666666667,18.966666666666665,9.7,460670.0,11.842105263157904
2020-10-01,20.35483870967742,61.83870967741935,11.935483870967742,65.1,533405.0,13.400833829660511
2020-11-01,13.466666666666669,66.56666666666666,18.966666666666665,21.8,439920.0,14.166666666666677
2020-12-01,11.612903225806452,72.09677419354838,17.64516129032258,29.8,408040.0,15.243179122182692
2021-01-01,8.709677419354838,69.6774193548387,17.64516129032258,167.5,334825.0,15.736342042755345
2021-02-01,8.035714285714286,70.21428571428571,18.107142857142858,51.7,350913.0,16.33254716981133
2021-03-01,8.0,68.96774193548387,15.741935483870968,74.39999999999999,545608.0,16.958041958041957
2021-04-01,11.166666666666666,72.0,14.2,65.8,419686.0,16.227064220183475
2021-05-01,17.387096774193548,64.7741935483871,13.870967741935484,44.0,384630.0,16.657287563308962
2021-06-01,20.866666666666667,67.13333333333334,11.066666666666666,77.3,684621.0,16.15598885793872
2021-07-01,25.741935483870968,62.64516129032258,17.225806451612904,37.0,1130999.0,15.19823788546255
2021-08-01,26.225806451612904,59.74193548387097,16.967741935483872,12.8,1002722.0,15.623298856831802
2021-09-01,21.53333333333333,59.16666666666666,18.8,18.9,975916.0,15.935828877005353
2021-10-01,16.64516129032258,69.80645161290323,19.06451612903226,39.4,1152771.0,17.01680672268908
2021-11-01,13.833333333333334,68.36666666666666,16.066666666666666,75.7,997620.0,31.07403545359749
2021-12-01,10.064516129032258,71.87096774193549,19.83870967741936,82.5,1044693.0,39.73237261966031
2022-01-01,6.387096774193548,69.7741935483871,17.903225806451612,61.7,791578.0,44.125192406362224
2022-02-01,7.464285714285714,73.0,15.107142857142858,112.6,956482.0,48.6568677141409
2022-03-01,6.096774193548387,66.29032258064517,17.29032258064516,45.1,1156400.0,53.064275037369214
2022-04-01,12.866666666666667,68.56666666666666,13.6,78.7,977888.0,57.22742969906266
2022-05-01,17.29032258064516,64.90322580645162,13.774193548387096,19.9,1402366.0,58.85190545103715
2022-06-01,22.466666666666665,68.06666666666666,15.033333333333331,38.9,1470586.0,63.7410071942446
2022-07-01,25.225806451612904,58.096774193548384,19.83870967741936,27.7,1759506.0,67.92543021032506
2022-08-01,26.774193548387096,63.12903225806452,15.548387096774194,25.3,1665983.0,69.67984934086627
2022-09-01,22.566666666666663,57.13333333333333,15.3,56.6,1607045.0,71.7250922509225
2022-10-01,18.0,63.2258064516129,18.64516129032258,20.3,1584692.0,70.55655296229801
2022-11-01,15.033333333333331,67.5,16.0,35.6,1341948.0,54.29594272076371
2022-12-01,11.516129032258064,73.54838709677419,14.387096774193548,55.9,1304252.0,54.25414364640885
2023-01-01,9.870967741935484,70.90322580645162,15.096774193548388,23.3,1189827.0,51.90459238163048
2023-02-01,7.178571428571429,71.85714285714286,19.678571428571427,64.2,1084033.0,48.44868735083531
2023-03-01,9.741935483870968,73.80645161290323,15.548387096774194,141.5,1206770.0,45.96354166666666
2023-04-01,12.066666666666666,74.4,13.833333333333334,107.7,1289903.0,46.18763727643552
