Date,Country,Country_Temp,Country_Humidity,Country_Precipitation,Avg Temperature (C),Avg Humidity (%),Total Precipitation (mm),ziyaretci_sayisi
2019-01-01,ASM,27.33,79.03,918.75,8.475422427035332,70.20276497695852,77.66666666666667,0.0
2019-04-01,ASM,27.52,78.63,613.69,18.11935483870968,66.00573476702509,28.066666666666663,0.0
2019-07-01,ASM,26.69,76.29,309.75,23.525089605734767,62.93942652329749,29.36666666666667,0.0
2019-10-01,ASM,26.76,78.13,551.42,15.47347670250896,69.24408602150538,55.73333333333333,0.0
2020-01-01,ASM,27.42,78.48,950.21,8.450129773822766,69.75046347793845,85.46666666666665,0.0
2020-04-01,ASM,27.51,78.24,641.71,16.76845878136201,62.81146953405018,64.10000000000001,0.0
2020-07-01,ASM,26.64,76.03,304.32,24.58817204301075,64.13082437275986,5.3,0.0
2020-10-01,ASM,26.69,77.66,523.57,15.144802867383511,66.83405017921147,38.9,0.0
2021-01-01,ASM,27.36,78.09,916.06,8.248463901689709,69.61981566820276,97.86666666666667,0.0
2021-04-01,ASM,27.5,77.78,643.49,16.47347670250896,67.96917562724015,62.36666666666667,0.0
2021-07-01,ASM,26.69,75.91,317.27,24.50035842293907,60.517921146953405,22.9,0.0
2021-10-01,ASM,26.72,77.26,525.76,13.514336917562725,70.0146953405018,65.86666666666667,0.0
2022-01-01,ASM,27.31,77.68,905.67,6.649385560675884,69.68817204301075,73.13333333333334,0.0
2022-04-01,ASM,27.44,77.17,600.83,17.54121863799283,67.17885304659498,45.833333333333336,0.0
2022-07-01,ASM,26.68,75.51,281.45,24.85555555555555,59.45304659498208,36.53333333333333,0.0
2022-10-01,ASM,26.7,77.01,531.1,14.849820788530463,68.09139784946235,37.266666666666666,0.0
2023-01-01,ASM,27.38,77.25,933.69,8.930491551459292,72.18894009216591,76.33333333333333,0.0
2023-04-01,ASM,27.39,76.75,630.82,16.272043010752686,72.81505376344086,64.66666666666667,0.0
2023-07-01,ASM,26.71,74.57,306.9,24.968817204301075,59.33763440860215,29.133333333333336,0.0
2023-10-01,ASM,26.77,76.41,521.28,15.349820788530463,68.77419354838709,141.86666666666667,0.0
2024-01-01,ASM,27.42,76.77,922.7,9.42491657397108,71.02892102335929,65.7,0.0
2024-04-01,ASM,27.58,76.15,616.32,18.25663082437276,65.27419354838709,42.06666666666667,0.0
2024-07-01,ASM,26.8,74.69,326.83,25.138709677419353,61.07777777777778,38.1,0.0
2024-10-01,ASM,26.83,75.82,564.83,13.56415770609319,67.48853046594982,68.66666666666667,0.0
2019-01-01,AUS,28.13,43.3,205.0,8.475422427035332,70.20276497695852,77.66666666666667,4087.0
2019-04-01,AUS,23.09,46.53,92.8,18.11935483870968,66.00573476702509,28.066666666666663,17511.0
2019-07-01,AUS,16.15,48.36,44.76,23.525089605734767,62.93942652329749,29.36666666666667,0.0
2019-10-01,AUS,23.81,37.94,61.74,15.47347670250896,69.24408602150538,55.73333333333333,0.0
2020-01-01,AUS,28.43,43.21,211.97,8.450129773822766,69.75046347793845,85.46666666666665,1746.0
2020-04-01,AUS,23.15,47.01,98.12,16.76845878136201,62.81146953405018,64.10000000000001,221.0
2020-07-01,AUS,16.18,48.44,46.24,24.58817204301075,64.13082437275986,5.3,0.0
2020-10-01,AUS,23.84,37.95,61.06,15.144802867383511,66.83405017921147,38.9,0.0
2021-01-01,AUS,28.59,43.17,211.19,8.248463901689709,69.61981566820276,97.86666666666667,0.0
2021-04-01,AUS,23.24,46.02,91.2,16.47347670250896,67.96917562724015,62.36666666666667,0.0
2021-07-01,AUS,16.39,47.93,45.16,24.50035842293907,60.517921146953405,22.9,0.0
2021-10-01,AUS,23.55,37.71,60.48,13.514336917562725,70.0146953405018,65.86666666666667,0.0
2022-01-01,AUS,28.25,43.2,211.61,6.649385560675884,69.68817204301075,73.13333333333334,8848.0
2022-04-01,AUS,23.04,46.43,98.26,17.54121863799283,67.17885304659498,45.833333333333336,23931.0
2022-07-01,AUS,16.31,48.12,45.02,24.85555555555555,59.45304659498208,36.53333333333333,35645.0
2022-10-01,AUS,23.78,36.94,58.82,14.849820788530463,68.09139784946235,37.266666666666666,21344.0
2023-01-01,AUS,28.37,43.06,218.15,8.930491551459292,72.18894009216591,76.33333333333333,14432.0
2023-04-01,AUS,23.19,46.24,97.57,16.272043010752686,72.81505376344086,64.66666666666667,37426.0
2023-07-01,AUS,16.42,47.76,46.52,24.968817204301075,59.33763440860215,29.133333333333336,53839.0
2023-10-01,AUS,23.86,36.88,59.41,15.349820788530463,68.77419354838709,141.86666666666667,26964.0
2024-01-01,AUS,28.62,42.25,210.52,9.42491657397108,71.02892102335929,65.7,14800.0
2024-04-01,AUS,23.28,44.89,93.32,18.25663082437276,65.27419354838709,42.06666666666667,43537.0
2024-07-01,AUS,16.4,47.02,46.24,25.138709677419353,61.07777777777778,38.1,19895.0
2024-10-01,AUS,23.97,36.76,61.59,13.56415770609319,67.48853046594982,68.66666666666667,0.0
2019-01-01,BRN,26.54,79.97,748.33,8.475422427035332,70.20276497695852,77.66666666666667,0.0
2019-04-01,BRN,27.38,78.87,737.17,18.11935483870968,66.00573476702509,28.066666666666663,0.0
2019-07-01,BRN,27.41,78.09,672.99,23.525089605734767,62.93942652329749,29.36666666666667,0.0
2019-10-01,BRN,27.04,79.25,888.61,15.47347670250896,69.24408602150538,55.73333333333333,0.0
2020-01-01,BRN,26.58,79.72,783.42,8.450129773822766,69.75046347793845,85.46666666666665,0.0
