Date,Avg Temperature (C),Condition,Avg Humidity (%),Avg Wind Speed (km/h),Total Precipitation (mm)
2024-01-01,13,Overcast,73,10,0.0
2024-01-02,12,Moderate or heavy rain shower,82,16,7.7
2024-01-03,11,Patchy rain possible,85,13,2.6
2024-01-04,12,Overcast,86,17,0.0
2024-01-05,12,Sunny,74,13,1.9
2024-01-06,12,Overcast,61,10,0.0
2024-01-07,13,Moderate or heavy rain shower,70,25,9.4
2024-01-08,12,Patchy rain possible,74,32,0.2
2024-01-09,6,Moderate or heavy rain shower,88,35,15.9
2024-01-10,6,Heavy rain at times,75,36,10.9
2024-01-11,5,Overcast,64,16,0.0
2024-01-12,4,Patchy rain possible,68,16,0.3
2024-01-13,3,Overcast,58,19,0.0
2024-01-14,5,Overcast,56,12,0.0
2024-01-15,9,Cloudy,60,26,0.0
2024-01-16,10,Moderate or heavy rain shower,79,26,11.6
2024-01-17,9,Partly cloudy,77,9,0.0
2024-01-18,11,Moderate rain at times,81,25,1.0
2024-01-19,13,Patchy rain possible,80,30,0.7
2024-01-20,8,Moderate or heavy rain shower,91,28,17.8
2024-01-21,6,Moderate rain at times,72,33,4.7
2024-01-22,6,Patchy rain possible,58,28,0.3
2024-01-23,6,Sunny,66,16,0.0
2024-01-24,6,Patchy rain possible,72,20,0.2
2024-01-25,7,Overcast,71,16,1.4
2024-01-26,7,Patchy rain possible,71,9,1.9
2024-01-27,6,Moderate rain at times,79,16,7.2
2024-01-28,6,Patchy rain possible,71,23,0.8
2024-01-29,5,Moderate or heavy rain shower,76,28,6.1
2024-01-30,6,Patchy rain possible,71,31,4.8
2024-01-31,6,Overcast,72,30,0.0
2024-02-01,7,Overcast,63,15,0.0
2024-02-02,6,Overcast,68,15,0.3
2024-02-03,7,Partly cloudy,65,10,0.2
2024-02-04,8,Patchy rain possible,71,18,0.3
2024-02-05,10,Overcast,79,24,0.0
2024-02-06,11,Sunny,75,15,0.0
2024-02-07,11,Overcast,77,17,0.0
2024-02-08,13,Patchy rain possible,72,20,1.3
2024-02-09,12,Sunny,72,16,0.0
2024-02-10,13,Overcast,69,24,0.0
2024-02-11,13,Cloudy,67,24,0.0
2024-02-12,13,Patchy rain possible,68,14,4.3
2024-02-13,11,Patchy rain possible,79,12,2.8
2024-02-14,9,Overcast,82,20,0.5
2024-02-15,7,Moderate rain at times,85,28,7.7
2024-02-16,8,Moderate rain at times,85,19,6.1
