Date,Avg Temperature (C),Avg Humidity (%),Avg Wind Speed (km/h),Total Precipitation (mm)
2023-01,9.870967741935484,70.90322580645162,15.096774193548388,23.3
2023-02,7.178571428571429,71.85714285714286,19.678571428571427,64.2
2023-03,9.741935483870968,73.80645161290323,15.548387096774194,141.5
2023-04,12.066666666666666,74.4,13.833333333333334,107.7
2023-05,15.516129032258064,75.64516129032258,15.64516129032258,65.0
2023-06,21.233333333333334,68.4,15.8,21.3
2023-07,25.903225806451612,54.12903225806452,15.225806451612904,38.6
2023-08,25.903225806451612,62.483870967741936,20.193548387096776,1.8
2023-09,23.1,61.4,20.1,47.0
2023-10,19.225806451612904,64.51612903225806,14.903225806451612,36.3
2023-11,15.533333333333333,68.0,20.2,272.7
2023-12,11.290322580645162,73.80645161290323,17.483870967741936,116.60000000000001
