tarih,uyruk,ziyaretci_sayisi
2023-04-01,Yunanistan,9564
2023-04-01,Suriye,9436
2023-04-01,Kırgızistan,9235
2023-04-01,Meksika,8894
2023-04-01,Avustralya,8605
2023-04-01,Polonya,8335
2023-04-01,Güney Kore,8216
2023-04-01,Gürcistan,7667
2023-04-01,Malezya,7666
2023-04-01,Belarus,7199
2023-04-01,Pakistan,7198
2023-04-01,Tunus,7146
2023-04-01,Türkmenistan,6637
2023-04-01,Macaristan,6593
2023-04-01,Danimarka,6478
2023-04-01,Kosova,6283
2023-04-01,Bosna Hersek,5858
2023-04-01,Sırbistan,5829
2023-04-01,Kuzey Kıbrıs,5797
2023-04-01,Brezilya,5772
2023-04-01,Filipinler,5644
2023-04-01,Portekiz,5352
2023-04-01,Arnavutluk,4747
2023-04-01,Güney Afrika,4537
2023-04-01,Kolombiya,4525
2023-04-01,Norveç,4417
2023-04-01,Tacikistan,4403
2023-04-01,Birleşik Arap Emirlikleri,4136
2023-04-01,Japonya,3949
2023-04-01,İrlanda,3891
2023-04-01,Tayland,3788
2023-04-01,Çekya,3785
2023-04-01,Hırvatistan,3762
2023-04-01,Katar,3740
2023-04-01,Afganistan,3599
2023-04-01,Moldova,3506
2023-04-01,Milliyetsiz (Haymatlos),3420
2023-04-01,Slovenya,3381
2023-04-01,Litvanya,3266
2023-04-01,Arjantin,3226
2023-04-01,Letonya,3139
2023-04-01,Filistin,3049
2023-04-01,Tayvan,3033
2023-04-01,Moğolistan,2895
2023-04-01,Singapur,2684
2023-04-01,Kuzey Makedonya,2524
2023-04-01,Bahreyn,2336
2023-04-01,Slovakya,2207
2023-04-01,Yemen,2174
2023-04-01,Finlandiya,2157
2023-04-01,Umman,1976
2023-04-01,Nijerya,1933
2023-04-01,Etiyopya,1876
2023-04-01,Estonya,1859
2023-04-01,Yeni Zelanda,1679
2023-04-01,Sudan,1675
2023-04-01,Bangladeş,1491
2023-04-01,Şili,1457
2023-04-01,Venezuela,1354
2023-04-01,Ekvador,1224
2023-04-01,Karadağ,1179
2023-04-01,Hong Kong,1093
2023-04-01,Senegal,986
2023-04-01,Ermenistan,932
2023-04-01,Malta,891
2023-04-01,Peru,888
2023-04-01,Demokratik Kongo Cumhuriyeti,859
2023-04-01,Kosta Rika,827
2023-04-01,Eritre,746
2023-04-01,Somali,723
2023-04-01,Kenya,692
2023-04-01,Dominik Cumhuriyeti,610
2023-04-01,Mauritius,601
2023-04-01,Uganda,559
2023-04-01,Saint Kitts,526
2023-04-01,Kamerun,521
2023-04-01,Güney Kıbrıs,513
2023-04-01,Lüksemburg,510
2023-04-01,Dominika,502
2023-04-01,Fildişi Sahili,461
2023-04-01,Sri Lanka,455
2023-04-01,Panama,429
2023-04-01,Guatemala,364
2023-04-01,Angola,356
2023-04-01,Uruguay,355
2023-04-01,Tanzanya,352
2023-04-01,Mali,336
2023-04-01,Vietnam,330
2023-04-01,Gabon,326
2023-04-01,Birleşmiş Milletler,324
2023-04-01,Çad,313
2023-04-01,Nepal,306
2023-04-01,Moritanya,305
2023-04-01,Sierra Leone,303
2023-04-01,Gine,296
2023-04-01,Gana,290
2023-04-01,Nijer,284
2023-04-01,Burkina Faso,230
2023-04-01,Bolivya,225
2023-04-01,Honduras,225
2023-04-01,Küba,210
2023-04-01,Zimbabve,198
2023-04-01,Cibuti,188
2023-04-01,İzlanda,151
2023-04-01,El Salvador,150
2023-04-01,Kongo Cumhuriyeti,134
2023-04-01,Gambiya,112
2023-04-01,Haiti,108
2023-04-01,Trinidad ve Tobago,107
2023-04-01,Benin,105
2023-04-01,Güney Sudan,104
2023-04-01,Brunei,104
2023-04-01,Paraguay,101
2023-04-01,Mozambik,91
2023-04-01,Lihtenştayn,91
2023-04-01,Togo,81
2023-04-01,Antigua ve Barbuda,80
2023-04-01,Jamaika,78
2023-04-01,Maldivler,74
2023-04-01,Nikaragua,74
2023-04-01,Ruanda,68
2023-04-01,Zambiya,63
2023-04-01,Grenada,43
2023-04-01,Ekvator Ginesi,42
2023-04-01,Burundi,38
2023-04-01,Myanmar,36
2023-04-01,Kuzey Kore,34
2023-04-01,Surinam,34
2023-04-01,Seyşeller,32
2023-04-01,Komorlar,32
2023-04-01,Liberya,31
2023-04-01,Kamboçya,29
2023-04-01,Botsvana,28
2023-04-01,Andorra,25
2023-04-01,Belize,25
2023-04-01,Monako,24
2023-04-01,Barbados,23
2023-04-01,Vanuatu,23
2023-04-01,Saint Lucia,23
2023-04-01,Gine Bissau,22
2023-04-01,Madagaskar,20
2023-04-01,Cabo Verde,17
2023-04-01,Namibya,15
2023-04-01,Makao,15
2023-04-01,Fiji,14
2023-04-01,Bahama Adaları,13
2023-04-01,San Marino,13
2023-04-01,Bhutan,13
2023-04-01,Malavi,11
2023-04-01,Doğu Timor,10
2023-04-01,Guyana,9
2023-04-01,Esvatini,7
2023-04-01,Orta Afrika Cumhuriyeti,5
2023-04-01,Papua Yeni Gine,5
2023-04-01,Laos,2
2023-04-01,Avrupa Birliği,2
2023-04-01,Lesotho,2
2023-04-01,Vatikan,2
2023-04-01,Somaliland,2
2023-04-01,Sao Tome,1
2023-04-01,Tuvalu,1
2023-04-01,Tonga,1
2023-04-01,Diğer,0
2023-03-01,Rusya,164205
2023-03-01,İran,97756
2023-03-01,Almanya,90107
2023-03-01,ABD,52625
2023-03-01,Birleşik Krallık,43700
2023-03-01,Fransa,37766
2023-03-01,İsrail,35138
2023-03-01,Irak,33089
2023-03-01,Suudi Arabistan,27364
2023-03-01,Özbekistan,27208
2023-03-01,İtalya,25295
2023-03-01,Kazakistan,23656
2023-03-01,Azerbaycan,20914
2023-03-01,Hollanda,20276
2023-03-01,Ukrayna,16646
2023-03-01,Cezayir,16619
2023-03-01,Fas,16512
2023-03-01,İspanya,16401
2023-03-01,Endonezya,14489
2023-03-01,Romanya,14188
2023-03-01,Hindistan,13681
2023-03-01,Lübnan,12472
2023-03-01,Çin,12260
2023-03-01,Ürdün,11826
2023-03-01,Belçika,11563
2023-03-01,Bulgaristan,11359
2023-03-01,Avusturya,11017
2023-03-01,Libya,10911
2023-03-01,Kanada,10662
2023-03-01,Tunus,10653
2023-03-01,Kuveyt,9646
2023-03-01,İsveç,9541
2023-03-01,Malezya,9143
2023-03-01,Mısır,9009
2023-03-01,İsviçre,8848
2023-03-01,Yunanistan,8524
2023-03-01,Suriye,8123
2023-03-01,Gürcistan,7808
2023-03-01,Pakistan,7711
2023-03-01,Belarus,7547
2023-03-01,Meksika,7478
2023-03-01,Kırgızistan,7292
2023-03-01,Polonya,7218
2023-03-01,Güney Kore,7058
2023-03-01,Türkmenistan,6499
2023-03-01,Kosova,6229
2023-03-01,Tacikistan,5646
2023-03-01,Danimarka,5566
2023-03-01,Bosna Hersek,5191
2023-03-01,Brezilya,5134
2023-03-01,Avustralya,5080
2023-03-01,Sırbistan,4754
2023-03-01,Arnavutluk,4607
2023-03-01,Filipinler,4512
2023-03-01,Portekiz,4387
2023-03-01,Kuzey Kıbrıs,4218
2023-03-01,Norveç,4189
2023-03-01,Japonya,4106
2023-03-01,Hırvatistan,3903
2023-03-01,Kolombiya,3870
2023-03-01,Macaristan,3798
2023-03-01,Afganistan,3780
2023-03-01,Çekya,3770
2023-03-01,Tayvan,3658
2023-03-01,Moldova,3607
2023-03-01,İrlanda,3377
2023-03-01,Güney Afrika,3241
2023-03-01,Litvanya,3166
2023-03-01,Filistin,3160
2023-03-01,Tayland,3131
2023-03-01,Slovenya,2915
2023-03-01,Milliyetsiz (Haymatlos),2882
2023-03-01,Katar,2790
2023-03-01,Kuzey Makedonya,2734
2023-03-01,Singapur,2526
2023-03-01,Arjantin,2315
2023-03-01,Moğolistan,2303
2023-03-01,Finlandiya,2273
2023-03-01,Letonya,2250
2023-03-01,Sudan,2219
2023-03-01,Etiyopya,2073
2023-03-01,Nijerya,2012
2023-03-01,Birleşik Arap Emirlikleri,1942
2023-03-01,Yemen,1919
2023-03-01,Slovakya,1889
2023-03-01,Estonya,1691
2023-03-01,Umman,1468
2023-03-01,Bangladeş,1448
2023-03-01,Karadağ,1339
2023-03-01,Senegal,1324
2023-03-01,Venezuela,1238
2023-03-01,Bahreyn,1236
2023-03-01,Ekvador,1065
2023-03-01,Ermenistan,1038
2023-03-01,Eritre,1013
2023-03-01,Hong Kong,963
2023-03-01,Şili,960
2023-03-01,Malta,786
2023-03-01,Yeni Zelanda,716
2023-03-01,Demokratik Kongo Cumhuriyeti,696
2023-03-01,Peru,695
2023-03-01,Somali,673
2023-03-01,Kamerun,639
2023-03-01,Fildişi Sahili,612
2023-03-01,Uganda,602
2023-03-01,Birleşmiş Milletler,583
2023-03-01,Kenya,521
2023-03-01,Panama,505
2023-03-01,Tanzanya,485
2023-03-01,Mauritius,481
2023-03-01,Gine,479
2023-03-01,Çad,453
2023-03-01,Mali,448
2023-03-01,Saint Kitts,438
2023-03-01,Güney Kıbrıs,433
2023-03-01,Kosta Rika,428
2023-03-01,Dominika,404
2023-03-01,Nepal,394
2023-03-01,Uruguay,380
2023-03-01,Dominik Cumhuriyeti,378
2023-03-01,Angola,363
2023-03-01,Gana,353
2023-03-01,Sri Lanka,347
2023-03-01,Lüksemburg,336
2023-03-01,Gabon,328
2023-03-01,Sierra Leone,313
2023-03-01,Guatemala,282
2023-03-01,Cibuti,275
2023-03-01,Nijer,242
2023-03-01,Küba,241
2023-03-01,Moritanya,231
2023-03-01,Bolivya,231
2023-03-01,Zimbabve,223
2023-03-01,Burkina Faso,219
2023-03-01,Vietnam,170
2023-03-01,El Salvador,170
2023-03-01,Honduras,166
2023-03-01,Benin,148
2023-03-01,Kongo Cumhuriyeti,144
2023-03-01,Gambiya,135
2023-03-01,İzlanda,109
2023-03-01,Maldivler,108
2023-03-01,Güney Sudan,108
2023-03-01,Mozambik,94
2023-03-01,Brunei,88
2023-03-01,Haiti,83
2023-03-01,Trinidad ve Tobago,80
2023-03-01,Jamaika,78
2023-03-01,Myanmar,70
2023-03-01,Togo,68
2023-03-01,Zambiya,64
2023-03-01,Paraguay,64
2023-03-01,Seyşeller,59
2023-03-01,Ruanda,57
2023-03-01,Nikaragua,51
2023-03-01,Antigua ve Barbuda,50
2023-03-01,Lihtenştayn,50
2023-03-01,Komorlar,43
2023-03-01,Barbados,41
2023-03-01,Ekvator Ginesi,40
2023-03-01,Liberya,40
2023-03-01,Grenada,40
2023-03-01,Andorra,37
2023-03-01,Botsvana,34
2023-03-01,Namibya,30
2023-03-01,Burundi,29
2023-03-01,Vanuatu,26
2023-03-01,Kamboçya,23
2023-03-01,Fiji,19
2023-03-01,Saint Lucia,18
2023-03-01,Orta Afrika Cumhuriyeti,17
2023-03-01,Bahama Adaları,17
2023-03-01,San Marino,17
2023-03-01,Gine Bissau,16
2023-03-01,Madagaskar,15
2023-03-01,Belize,15
2023-03-01,Kuzey Kore,15
2023-03-01,Cabo Verde,11
2023-03-01,Surinam,11
2023-03-01,Malavi,10
2023-03-01,Monako,10
2023-03-01,Makao,9
2023-03-01,Guyana,8
2023-03-01,Laos,7
2023-03-01,Esvatini,6
2023-03-01,Avrupa Birliği,6
2023-03-01,Sao Tome,6
2023-03-01,Bhutan,5
2023-03-01,Saint Vincent,5
2023-03-01,Lesotho,3
2023-03-01,Vatikan,2
2023-03-01,Doğu Timor,2
2023-03-01,Mikronezya,1
2023-03-01,Tuvalu,1
2023-03-01,Diğer,0
2023-02-01,Rusya,149906
2023-02-01,Almanya,76601
2023-02-01,İran,58976
2023-02-01,Fransa,42240
2023-02-01,Birleşik Krallık,39587
2023-02-01,ABD,33196
2023-02-01,İsrail,29920
2023-02-01,Özbekistan,26202
2023-02-01,Irak,25184
2023-02-01,Hollanda,23066
2023-02-01,Kazakistan,21823
2023-02-01,Suudi Arabistan,20935
2023-02-01,Endonezya,20436
2023-02-01,Kuveyt,19427
2023-02-01,Cezayir,18834
2023-02-01,İtalya,18826
2023-02-01,Azerbaycan,17321
2023-02-01,Ukrayna,15081
2023-02-01,Fas,14937
2023-02-01,Libya,14528
2023-02-01,Tunus,13411
2023-02-01,Belçika,13407
2023-02-01,Ürdün,13302
2023-02-01,İspanya,13166
2023-02-01,Mısır,13155
2023-02-01,Romanya,11833
2023-02-01,Lübnan,11635
2023-02-01,Malezya,11247
2023-02-01,Avusturya,11176
2023-02-01,Bulgaristan,10463
2023-02-01,Güney Kore,10374
2023-02-01,Hindistan,10327
2023-02-01,İsviçre,9465
2023-02-01,Suriye,8988
2023-02-01,İsveç,8480
2023-02-01,Çin,8330
2023-02-01,Pakistan,8185
2023-02-01,Kanada,7865
2023-02-01,Kırgızistan,7707
2023-02-01,Yunanistan,7325
2023-02-01,Gürcistan,6298
2023-02-01,Polonya,6109
2023-02-01,Belarus,6091
2023-02-01,Kuzey Kıbrıs,5946
2023-02-01,Tacikistan,5722
2023-02-01,Kosova,5628
2023-02-01,Türkmenistan,5587
2023-02-01,Danimarka,4980
2023-02-01,Sırbistan,4891
2023-02-01,Avustralya,4306
2023-02-01,Japonya,4236
2023-02-01,Meksika,4139
2023-02-01,Bosna Hersek,4095
2023-02-01,Arnavutluk,3994
2023-02-01,Norveç,3808
2023-02-01,Umman,3797
2023-02-01,Filipinler,3571
2023-02-01,Brezilya,3567
2023-02-01,Filistin,3556
2023-02-01,Portekiz,3529
2023-02-01,Birleşik Arap Emirlikleri,3366
2023-02-01,Milliyetsiz (Haymatlos),3356
2023-02-01,Afganistan,3326
2023-02-01,Moldova,3194
2023-02-01,Bahreyn,3003
2023-02-01,İrlanda,2944
2023-02-01,Çekya,2866
2023-02-01,Hırvatistan,2768
2023-02-01,Litvanya,2655
2023-02-01,Moğolistan,2637
2023-02-01,Macaristan,2572
2023-02-01,Güney Afrika,2529
2023-02-01,Katar,2511
2023-02-01,Kuzey Makedonya,2502
2023-02-01,Slovenya,2397
2023-02-01,Tayvan,2344
2023-02-01,Tayland,2332
2023-02-01,Kolombiya,2317
2023-02-01,Yemen,2020
2023-02-01,Finlandiya,1987
2023-02-01,Nijerya,1978
2023-02-01,Sudan,1963
2023-02-01,Etiyopya,1954
2023-02-01,Letonya,1816
2023-02-01,Singapur,1761
2023-02-01,Arjantin,1669
2023-02-01,Şili,1398
2023-02-01,Bangladeş,1330
2023-02-01,Estonya,1309
2023-02-01,Slovakya,1253
2023-02-01,Karadağ,1176
2023-02-01,Senegal,1157
2023-02-01,Ermenistan,905
2023-02-01,Venezuela,831
2023-02-01,Malta,824
2023-02-01,Eritre,804
2023-02-01,Mauritius,800
2023-02-01,Panama,665
2023-02-01,Peru,644
2023-02-01,Demokratik Kongo Cumhuriyeti,632
2023-02-01,Somali,616
2023-02-01,Yeni Zelanda,581
2023-02-01,Fildişi Sahili,576
2023-02-01,Kamerun,553
2023-02-01,Hong Kong,536
2023-02-01,Uganda,499
2023-02-01,Gine,495
2023-02-01,Kenya,475
2023-02-01,Birleşmiş Milletler,465
2023-02-01,Ekvador,461
2023-02-01,Çad,439
2023-02-01,Dominika,422
2023-02-01,Mali,401
2023-02-01,Saint Kitts,390
2023-02-01,Tanzanya,380
2023-02-01,Güney Kıbrıs,375
2023-02-01,Lüksemburg,346
2023-02-01,Nepal,328
2023-02-01,Gana,323
2023-02-01,Moritanya,288
2023-02-01,Gabon,281
2023-02-01,Vietnam,279
2023-02-01,Cibuti,275
2023-02-01,Sri Lanka,270
2023-02-01,Sierra Leone,262
2023-02-01,Nijer,249
2023-02-01,Angola,241
2023-02-01,Dominik Cumhuriyeti,223
2023-02-01,Küba,211
2023-02-01,Maldivler,196
2023-02-01,Burkina Faso,185
2023-02-01,Kosta Rika,182
2023-02-01,Brunei,180
2023-02-01,Zimbabve,172
2023-02-01,Gambiya,170
2023-02-01,Honduras,166
2023-02-01,Kongo Cumhuriyeti,164
2023-02-01,Uruguay,156
2023-02-01,Bolivya,124
2023-02-01,Benin,124
2023-02-01,İzlanda,117
2023-02-01,Mozambik,98
2023-02-01,Trinidad ve Tobago,96
2023-02-01,Guatemala,90
2023-02-01,El Salvador,89
2023-02-01,Güney Sudan,76
2023-02-01,Haiti,69
2023-02-01,Togo,67
2023-02-01,Zambiya,65
2023-02-01,Nikaragua,61
2023-02-01,Komorlar,60
2023-02-01,Myanmar,59
2023-02-01,Ruanda,57
2023-02-01,Antigua ve Barbuda,57
2023-02-01,Paraguay,53
2023-02-01,Lihtenştayn,48
2023-02-01,Jamaika,47
2023-02-01,Ekvator Ginesi,46
2023-02-01,Liberya,44
2023-02-01,Seyşeller,41
2023-02-01,Andorra,36
2023-02-01,Grenada,30
2023-02-01,Barbados,29
2023-02-01,Burundi,27
2023-02-01,Malavi,27
2023-02-01,Vanuatu,24
2023-02-01,Botsvana,23
2023-02-01,Gine Bissau,22
2023-02-01,Madagaskar,20
2023-02-01,Saint Lucia,19
2023-02-01,Cabo Verde,18
2023-02-01,Namibya,16
2023-02-01,Belize,15
2023-02-01,Kamboçya,14
2023-02-01,Surinam,13
2023-02-01,Makao,11
2023-02-01,Lesotho,11
2023-02-01,Orta Afrika Cumhuriyeti,9
2023-02-01,Esvatini,9
2023-02-01,Bahama Adaları,9
2023-02-01,Fiji,7
2023-02-01,Avrupa Birliği,6
2023-02-01,Somaliland,4
2023-02-01,Monako,4
2023-02-01,Guyana,4
2023-02-01,San Marino,3
2023-02-01,Vatikan,3
2023-02-01,Doğu Timor,2
2023-02-01,Laos,2
2023-02-01,Bhutan,2
2023-02-01,Saint Vincent,1
2023-02-01,Papua Yeni Gine,1
2023-02-01,Solomon Adaları,1
2023-02-01,Diğer,0
2023-01-01,Rusya,182018
2023-01-01,Almanya,79134
2023-01-01,İran,63304
2023-01-01,ABD,40924
2023-01-01,Kuveyt,39827
2023-01-01,Birleşik Krallık,39273
2023-01-01,İsrail,38581
2023-01-01,Fransa,34465
2023-01-01,Suudi Arabistan,28976
2023-01-01,Özbekistan,27219
2023-01-01,Endonezya,23657
2023-01-01,Hollanda,22613
2023-01-01,Kazakistan,22480
2023-01-01,İtalya,22100
2023-01-01,Azerbaycan,21404
2023-01-01,Cezayir,19598
2023-01-01,Irak,18838
2023-01-01,Fas,17122
2023-01-01,Ürdün,17041
2023-01-01,Ukrayna,16605
2023-01-01,Libya,14592
2023-01-01,İspanya,12793
2023-01-01,Romanya,12320
2023-01-01,Mısır,12096
2023-01-01,Tunus,12047
2023-01-01,Lübnan,11712
2023-01-01,Belçika,11641
2023-01-01,Güney Kore,11535
2023-01-01,Hindistan,11103
2023-01-01,Bulgaristan,10771
2023-01-01,İsveç,10711
2023-01-01,Avusturya,10279
2023-01-01,Kırgızistan,9283
2023-01-01,Pakistan,8562
2023-01-01,Suriye,8466
2023-01-01,Kanada,8331
2023-01-01,İsviçre,8223
2023-01-01,Çin,8095
2023-01-01,Bahreyn,7796
2023-01-01,Yunanistan,7578
2023-01-01,Malezya,7149
2023-01-01,Kosova,6795
2023-01-01,Belarus,6670
2023-01-01,Tacikistan,6340
2023-01-01,Gürcistan,6283
2023-01-01,Polonya,5693
2023-01-01,Birleşik Arap Emirlikleri,5649
2023-01-01,Umman,5311
2023-01-01,Danimarka,5205
2023-01-01,Türkmenistan,5204
2023-01-01,Kuzey Kıbrıs,5098
2023-01-01,Avustralya,5046
2023-01-01,Arnavutluk,4734
2023-01-01,Katar,4657
2023-01-01,Bosna Hersek,4548
2023-01-01,Sırbistan,4416
2023-01-01,Kuzey Makedonya,4286
2023-01-01,Meksika,4226
2023-01-01,Filipinler,4086
2023-01-01,Brezilya,4070
2023-01-01,Moğolistan,4055
2023-01-01,Norveç,3938
2023-01-01,Moldova,3771
2023-01-01,Milliyetsiz (Haymatlos),3703
2023-01-01,Güney Afrika,3581
2023-01-01,Afganistan,3524
2023-01-01,Filistin,3469
2023-01-01,Portekiz,3317
2023-01-01,İrlanda,3227
2023-01-01,Kolombiya,2962
2023-01-01,Japonya,2896
2023-01-01,Hırvatistan,2806
2023-01-01,Tayvan,2791
2023-01-01,Macaristan,2354
2023-01-01,Arjantin,2342
2023-01-01,Çekya,2334
2023-01-01,Yemen,2171
2023-01-01,Litvanya,2169
2023-01-01,Tayland,2107
2023-01-01,Finlandiya,2103
2023-01-01,Singapur,2070
2023-01-01,Sudan,1943
2023-01-01,Nijerya,1909
2023-01-01,Etiyopya,1767
2023-01-01,Slovenya,1767
2023-01-01,Letonya,1722
2023-01-01,Bangladeş,1472
2023-01-01,Karadağ,1389
2023-01-01,Estonya,1265
2023-01-01,Venezuela,1212
2023-01-01,Senegal,1169
2023-01-01,Slovakya,1158
2023-01-01,Mauritius,1116
2023-01-01,Ermenistan,1039
2023-01-01,Malta,895
2023-01-01,Hong Kong,859
2023-01-01,Şili,837
2023-01-01,Yeni Zelanda,799
2023-01-01,Eritre,744
2023-01-01,Panama,721
2023-01-01,Demokratik Kongo Cumhuriyeti,672
2023-01-01,Peru,625
2023-01-01,Somali,613
2023-01-01,Gine,566
2023-01-01,Kamerun,562
2023-01-01,Kenya,554
2023-01-01,Saint Kitts,553
2023-01-01,Fildişi Sahili,551
2023-01-01,Uganda,515
2023-01-01,Mali,458
2023-01-01,Güney Kıbrıs,457
2023-01-01,Ekvador,453
2023-01-01,Dominika,452
2023-01-01,Çad,434
2023-01-01,Nepal,426
2023-01-01,Kosta Rika,376
2023-01-01,Gabon,373
2023-01-01,Tanzanya,370
2023-01-01,Gana,345
2023-01-01,Sri Lanka,327
2023-01-01,Moritanya,310
2023-01-01,Küba,304
2023-01-01,Sierra Leone,296
2023-01-01,Lüksemburg,277
2023-01-01,Birleşmiş Milletler,272
2023-01-01,Dominik Cumhuriyeti,268
2023-01-01,Angola,264
2023-01-01,Nijer,224
2023-01-01,Cibuti,211
2023-01-01,Vietnam,211
2023-01-01,Burkina Faso,207
2023-01-01,Gambiya,197
2023-01-01,Bolivya,188
2023-01-01,Maldivler,169
2023-01-01,Guatemala,164
2023-01-01,Uruguay,160
2023-01-01,Zimbabve,157
2023-01-01,Kongo Cumhuriyeti,145
2023-01-01,Honduras,128
2023-01-01,Güney Sudan,117
2023-01-01,İzlanda,108
2023-01-01,Mozambik,105
2023-01-01,Benin,93
2023-01-01,Togo,89
2023-01-01,El Salvador,86
2023-01-01,Ruanda,76
2023-01-01,Haiti,73
2023-01-01,Antigua ve Barbuda,72
2023-01-01,Paraguay,68
2023-01-01,Brunei,67
2023-01-01,Jamaika,66
2023-01-01,Myanmar,64
2023-01-01,Kamboçya,62
2023-01-01,Seyşeller,61
2023-01-01,Komorlar,59
2023-01-01,Nikaragua,58
2023-01-01,Trinidad ve Tobago,55
2023-01-01,Grenada,48
2023-01-01,Zambiya,47
2023-01-01,Lihtenştayn,43
2023-01-01,Barbados,38
2023-01-01,Liberya,36
2023-01-01,Burundi,30
2023-01-01,Namibya,28
2023-01-01,Saint Lucia,24
2023-01-01,Belize,23
2023-01-01,Botsvana,23
2023-01-01,Ekvator Ginesi,22
2023-01-01,Gine Bissau,22
2023-01-01,Vanuatu,20
2023-01-01,Orta Afrika Cumhuriyeti,18
2023-01-01,Cabo Verde,18
2023-01-01,Fiji,15
2023-01-01,San Marino,13
2023-01-01,Andorra,12
2023-01-01,Madagaskar,12
2023-01-01,Malavi,9
2023-01-01,Doğu Timor,7
2023-01-01,Laos,7
2023-01-01,Surinam,7
2023-01-01,Esvatini,7
2023-01-01,Somaliland,6
2023-01-01,Avrupa Birliği,5
2023-01-01,Bahama Adaları,4
2023-01-01,Makao,4
2023-01-01,Saint Vincent,4
2023-01-01,Monako,3
2023-01-01,Bhutan,2
2023-01-01,Samoa,2
2023-01-01,Guyana,1
2023-01-01,Lesotho,1
2023-01-01,Vatikan,1
2023-01-01,Diğer,0
2022-12-01,Rusya,178859
2022-12-01,Almanya,87165
2022-12-01,İran,78746
2022-12-01,İsrail,51700
2022-12-01,ABD,47831
2022-12-01,Fransa,43150
2022-12-01,Birleşik Krallık,36770
2022-12-01,Suudi Arabistan,34568
2022-12-01,İtalya,27999
2022-12-01,Özbekistan,26084
2022-12-01,Irak,25824
2022-12-01,Cezayir,23373
2022-12-01,Hollanda,22737
2022-12-01,Kazakistan,22512
2022-12-01,Azerbaycan,21656
2022-12-01,Kuveyt,20743
2022-12-01,İspanya,19969
2022-12-01,Hindistan,19853
2022-12-01,Fas,18769
2022-12-01,Libya,18340
2022-12-01,Birleşik Arap Emirlikleri,17833
2022-12-01,Ürdün,17780
2022-12-01,Endonezya,17118
2022-12-01,Tunus,16898
2022-12-01,Mısır,16769
2022-12-01,Ukrayna,16191
2022-12-01,Malezya,13983
2022-12-01,Lübnan,13536
2022-12-01,Avusturya,13092
2022-12-01,Belçika,11905
2022-12-01,Romanya,11273
2022-12-01,İsveç,10968
2022-12-01,Pakistan,10414
2022-12-01,Bulgaristan,10259
2022-12-01,İsviçre,9996
2022-12-01,Suriye,9488
2022-12-01,Kanada,9369
2022-12-01,Çin,8994
2022-12-01,Güney Kore,8338
2022-12-01,Kırgızistan,8043
2022-12-01,Yunanistan,7789
2022-12-01,Singapur,7403
2022-12-01,Bahreyn,7156
2022-12-01,Meksika,7133
2022-12-01,Kosova,6511
2022-12-01,Katar,6499
2022-12-01,Gürcistan,6482
2022-12-01,Belarus,6467
2022-12-01,Güney Afrika,6073
2022-12-01,Tacikistan,5602
2022-12-01,Avustralya,5342
2022-12-01,Polonya,5048
2022-12-01,Kolombiya,4888
2022-12-01,Danimarka,4822
2022-12-01,Türkmenistan,4771
2022-12-01,Filipinler,4749
2022-12-01,Arnavutluk,4623
2022-12-01,Milliyetsiz (Haymatlos),4623
2022-12-01,Kuzey Kıbrıs,4610
2022-12-01,Brezilya,4377
2022-12-01,Bosna Hersek,4375
2022-12-01,Sırbistan,4323
2022-12-01,Filistin,4250
2022-12-01,Norveç,3976
2022-12-01,Afganistan,3771
2022-12-01,Umman,3670
2022-12-01,Portekiz,3554
2022-12-01,Moğolistan,3508
2022-12-01,Japonya,3490
2022-12-01,Moldova,3410
2022-12-01,Tayland,3263
2022-12-01,Kuzey Makedonya,2856
2022-12-01,Hırvatistan,2773
2022-12-01,İrlanda,2635
2022-12-01,Çekya,2412
2022-12-01,Sudan,2344
2022-12-01,Finlandiya,2303
2022-12-01,Yemen,2285
2022-12-01,Macaristan,2274
2022-12-01,Tayvan,2256
2022-12-01,Nijerya,2183
2022-12-01,Etiyopya,2115
2022-12-01,Litvanya,2089
2022-12-01,Slovenya,2030
2022-12-01,Mauritius,1827
2022-12-01,Arjantin,1811
2022-12-01,Bangladeş,1592
2022-12-01,Letonya,1539
2022-12-01,Venezuela,1524
2022-12-01,Karadağ,1411
2022-12-01,Eritre,1266
2022-12-01,Malta,1166
2022-12-01,Senegal,1119
2022-12-01,Slovakya,1116
2022-12-01,Estonya,1019
2022-12-01,Demokratik Kongo Cumhuriyeti,929
2022-12-01,Ermenistan,857
2022-12-01,Yeni Zelanda,830
2022-12-01,Ekvador,827
2022-12-01,Hong Kong,825
2022-12-01,Somali,732
2022-12-01,Dominika,704
2022-12-01,Kenya,696
2022-12-01,Peru,690
2022-12-01,Saint Kitts,671
2022-12-01,Tanzanya,642
2022-12-01,Gine,605
2022-12-01,Şili,553
2022-12-01,Fildişi Sahili,537
2022-12-01,Uganda,515
2022-12-01,Çad,508
2022-12-01,Mali,494
2022-12-01,Küba,493
2022-12-01,Nepal,488
2022-12-01,Brunei,452
2022-12-01,Maldivler,449
2022-12-01,Sri Lanka,446
2022-12-01,Kamerun,429
2022-12-01,Guatemala,414
2022-12-01,Kosta Rika,393
2022-12-01,Gabon,386
2022-12-01,Güney Kıbrıs,386
2022-12-01,Panama,365
2022-12-01,Moritanya,336
2022-12-01,Lüksemburg,334
2022-12-01,Angola,327
2022-12-01,Sierra Leone,324
2022-12-01,Nijer,295
2022-12-01,Gana,282
2022-12-01,Bolivya,280
