Date,Country,Country_Temp,Country_Precipitation,Country_Humidity,Avg Temperature (C),Avg Humidity (%),Total Precipitation (mm)
2019-01-01,ASM,27.33,918.75,79.03,8.475422427035332,70.20276497695852,77.66666666666667
2019-04-01,ASM,27.52,613.69,78.63,18.11935483870968,66.00573476702509,28.066666666666663
2019-07-01,ASM,26.69,309.75,76.29,23.525089605734767,62.93942652329749,29.36666666666667
2019-10-01,ASM,26.76,551.42,78.13,15.47347670250896,69.24408602150538,55.73333333333333
2020-01-01,ASM,27.42,950.21,78.48,8.450129773822766,69.75046347793845,85.46666666666665
2020-04-01,ASM,27.51,641.71,78.24,16.76845878136201,62.81146953405018,64.10000000000001
2020-07-01,ASM,26.64,304.32,76.03,24.58817204301075,64.13082437275986,5.3
2020-10-01,ASM,26.69,523.57,77.66,15.144802867383511,66.83405017921147,38.9
2021-01-01,ASM,27.36,916.06,78.09,8.248463901689709,69.61981566820276,97.86666666666667
2021-04-01,ASM,27.5,643.49,77.78,16.47347670250896,67.96917562724015,62.36666666666667
2021-07-01,ASM,26.69,317.27,75.91,24.50035842293907,60.517921146953405,22.9
2021-10-01,ASM,26.72,525.76,77.26,13.514336917562725,70.0146953405018,65.86666666666667
2022-01-01,ASM,27.31,905.67,77.68,6.649385560675884,69.68817204301075,73.13333333333334
2022-04-01,ASM,27.44,600.83,77.17,17.54121863799283,67.17885304659498,45.833333333333336
2022-07-01,ASM,26.68,281.45,75.51,24.85555555555555,59.45304659498208,36.53333333333333
2022-10-01,ASM,26.7,531.1,77.01,14.849820788530463,68.09139784946235,37.266666666666666
2023-01-01,ASM,27.38,933.69,77.25,8.930491551459292,72.18894009216591,76.33333333333333
2023-04-01,ASM,27.39,630.82,76.75,16.272043010752686,72.81505376344086,64.66666666666667
2023-07-01,ASM,26.71,306.9,74.57,24.968817204301075,59.33763440860215,29.133333333333336
2023-10-01,ASM,26.77,521.28,76.41,15.349820788530463,68.77419354838709,141.86666666666667
2024-01-01,ASM,27.42,922.7,76.77,9.42491657397108,71.02892102335929,65.7
2024-04-01,ASM,27.58,616.32,76.15,18.25663082437276,65.27419354838709,42.06666666666667
2024-07-01,ASM,26.8,326.83,74.69,25.138709677419353,61.07777777777778,38.1
2024-10-01,ASM,26.83,564.83,75.82,13.56415770609319,67.48853046594982,68.66666666666667
2019-01-01,AUS,28.13,205.0,43.3,8.475422427035332,70.20276497695852,77.66666666666667
2019-04-01,AUS,23.09,92.8,46.53,18.11935483870968,66.00573476702509,28.066666666666663
2019-07-01,AUS,16.15,44.76,48.36,23.525089605734767,62.93942652329749,29.36666666666667
2019-10-01,AUS,23.81,61.74,37.94,15.47347670250896,69.24408602150538,55.73333333333333
2020-01-01,AUS,28.43,211.97,43.21,8.450129773822766,69.75046347793845,85.46666666666665
2020-04-01,AUS,23.15,98.12,47.01,16.76845878136201,62.81146953405018,64.10000000000001
2020-07-01,AUS,16.18,46.24,48.44,24.58817204301075,64.13082437275986,5.3
2020-10-01,AUS,23.84,61.06,37.95,15.144802867383511,66.83405017921147,38.9
2021-01-01,AUS,28.59,211.19,43.17,8.248463901689709,69.61981566820276,97.86666666666667
2021-04-01,AUS,23.24,91.2,46.02,16.47347670250896,67.96917562724015,62.36666666666667
2021-07-01,AUS,16.39,45.16,47.93,24.50035842293907,60.517921146953405,22.9
2021-10-01,AUS,23.55,60.48,37.71,13.514336917562725,70.0146953405018,65.86666666666667
2022-01-01,AUS,28.25,211.61,43.2,6.649385560675884,69.68817204301075,73.13333333333334
2022-04-01,AUS,23.04,98.26,46.43,17.54121863799283,67.17885304659498,45.833333333333336
2022-07-01,AUS,16.31,45.02,48.12,24.85555555555555,59.45304659498208,36.53333333333333
2022-10-01,AUS,23.78,58.82,36.94,14.849820788530463,68.09139784946235,37.266666666666666
2023-01-01,AUS,28.37,218.15,43.06,8.930491551459292,72.18894009216591,76.33333333333333
2023-04-01,AUS,23.19,97.57,46.24,16.272043010752686,72.81505376344086,64.66666666666667
2023-07-01,AUS,16.42,46.52,47.76,24.968817204301075,59.33763440860215,29.133333333333336
2023-10-01,AUS,23.86,59.41,36.88,15.349820788530463,68.77419354838709,141.86666666666667
2024-01-01,AUS,28.62,210.52,42.25,9.42491657397108,71.02892102335929,65.7
2024-04-01,AUS,23.28,93.32,44.89,18.25663082437276,65.27419354838709,42.06666666666667
2024-07-01,AUS,16.4,46.24,47.02,25.138709677419353,61.07777777777778,38.1
2024-10-01,AUS,23.97,61.59,36.76,13.56415770609319,67.48853046594982,68.66666666666667
2019-01-01,BRN,26.54,748.33,79.97,8.475422427035332,70.20276497695852,77.66666666666667
2019-04-01,BRN,27.38,737.17,78.87,18.11935483870968,66.00573476702509,28.066666666666663
2019-07-01,BRN,27.41,672.99,78.09,23.525089605734767,62.93942652329749,29.36666666666667
2019-10-01,BRN,27.04,888.61,79.25,15.47347670250896,69.24408602150538,55.73333333333333
2020-01-01,BRN,26.58,783.42,79.72,8.450129773822766,69.75046347793845,85.46666666666665
2020-04-01,BRN,27.53,779.98,78.57,16.76845878136201,62.81146953405018,64.10000000000001
2020-07-01,BRN,27.33,683.21,77.79,24.58817204301075,64.13082437275986,5.3
2020-10-01,BRN,26.99,871.23,78.89,15.144802867383511,66.83405017921147,38.9
2021-01-01,BRN,26.59,816.81,79.52,8.248463901689709,69.61981566820276,97.86666666666667
2021-04-01,BRN,27.36,773.89,78.15,16.47347670250896,67.96917562724015,62.36666666666667
